region,province,temp_moy_an,temp_max_mois,temp_min_mois,precip_totale_an,humidite_moy_an,amplitude_thermique,elevation_m,lai_haute_veg,lai_basse_veg,couverture_haute_veg,couverture_basse_veg,type_sol,zone_bioclim,total_cas,statut_vecteur,latitude,longitude
Béni Mellal-Khénifra,Azilal,13.894660467948716,25.774193,2.4250062,604.2850907312629,53.39696358974359,23.349186800000002,1457.0585,4.140161,1.2294962,0.5500002,0.32444346,2.0,1,4824,confirme,31.860026766666667,-6.673951400000001
Béni Mellal-Khénifra,Béni Mellal,16.111863348076923,28.934906,4.18338,553.7371302561461,51.839342282051284,24.751526000000002,1105.0228,3.8406906,1.5307121,0.5375204,0.41132846,2.0,1,1031,non_documente,32.394486875,-6.23525859375
Béni Mellal-Khénifra,Fquih Ben Salah,19.59565355448718,32.142574,8.269546,397.5261080526086,49.905773660256415,23.873028000000005,547.00946,4.0190325,1.0366265,0.23117861,0.7486966,2.0,0,789,non_documente,32.50175947826087,-6.694581304347826
Béni Mellal-Khénifra,Khouribga,17.98526591025641,29.452347,7.861065,410.6696237792005,56.88293880128205,21.591282,670.74084,2.6546829,1.6232184,0.48938859,0.48434305,2.0,0,2,non_documente,32.927266405405405,-6.853967297297297
Béni Mellal-Khénifra,Khénifra,14.281809562820513,27.07763,2.5846841,611.8593985469761,52.91097057692308,24.4929459,1330.2634,3.2834682,1.690535,0.61294985,0.3426193,2.0,1,11,non_documente,32.81258686206897,-5.629422206896551
Casablanca-Settat,Benslimane,17.926522307692306,26.662855,9.634116,394.33730156492226,68.33737871794871,17.028739,299.60504,2.9839215,1.8349959,0.4494484,0.39274222,2.0,2,0,non_documente,33.49616714285714,-7.085263214285715
Casablanca-Settat,Berrechid,18.137044278846155,26.98605,9.935831,353.1692084103572,67.30534136538462,17.050219,292.71912,1.4971454,2.3059645,0.56147647,0.3964365,4.0,2,0,non_documente,33.24048592307692,-7.476127076923077
Casablanca-Settat,Casablanca,18.133860256410255,25.922077,10.502057,354.34267223698015,71.82437216025642,15.420020000000001,126.095276,3.6854596,2.4293213,0.38154384,0.4853712,2.0,2,0,non_documente,33.53521971428571,-7.565968714285715
Casablanca-Settat,El Jadida,18.404306294871795,25.635406,11.427643,336.15295744933246,74.21108447435897,14.207763,94.61754,3.5493011,1.2743912,0.09395677,0.54059875,2.0,2,0,non_documente,33.131781625,-8.3436881875
Casablanca-Settat,Mohammedia,18.159492285256412,25.554108,10.815618,402.0898936581798,74.15362185897436,14.738489999999999,130.86916,2.112322,1.4227644,0.18593052,0.21436791,0.0,2,0,non_documente,33.635765285714285,-7.348989857142857
