id,commune,province,region,latitude,longitude,osm_id
1,Aarab Sebbah Gheris,Errachidia,Drâa-Tafilalet,31.417241,-4.423419,2884807
2,Aarab Sebbah Ziz,Errachidia,Drâa-Tafilalet,31.487229,-3.994553,2884804
3,Abadou,El Kelâa des Sraghna,Marrakech-Safi,31.599657,-7.304719,3535387
4,Abaynou,Guelmim,Guelmim-Oued Noun,29.084087,-9.933778,2885907
5,Abdelghaya Souahel,Taounate,Fès-Meknès,34.78584,-4.652793,2516840
6,Abou Lakhal,Figuig,Oriental,32.289215,-1.511013,2527828
7,Abteh,Tan-Tan,Guelmim-Oued Noun,27.947122,-11.370393,2890948
8,Adaghas,Agadir-Ida Ou Tanane,Souss-Massa,30.896999,-9.34438,2820930
9,Adar,Tata,Souss-Massa,30.163767,-8.327102,2888899
10,Adassil,Chichaoua,Marrakech-Safi,31.142728,-8.480288,2830936
11,Aday,Assa-Zag,Guelmim-Oued Noun,29.206899,-9.302674,2885852
12,Adis,Tata,Souss-Massa,29.559643,-8.104511,2885799
13,Adrej,Boulemane,Fès-Meknès,33.643094,-4.444717,2816263
14,Afalla Issen,Chichaoua,Marrakech-Safi,31.037167,-8.927767,2830909
15,Afella Ighir,Chtouka-Aït Baha,Souss-Massa,29.566395,-8.777766,2888750
16,Afella N'Dra,Ouarzazate,Drâa-Tafilalet,30.807946,-6.507592,2884950
17,Aferkat,Guelmim,Guelmim-Oued Noun,28.684497,-10.370969,2885950
18,Afourar,Béni Mellal,Béni Mellal-Khénifra,32.195152,-6.518305,2887189
19,Afra,Ouarzazate,Drâa-Tafilalet,30.807318,-6.278328,2884952
20,Afsou,Driouch,Oriental,34.819776,-3.139035,2444881
21,Agadir,Agadir-Ida Ou Tanane,Souss-Massa,30.422039,-9.580328,2529624
22,Agadir Melloul,Tata,Souss-Massa,30.248457,-7.752828,2888949
23,Agafay,Al Haouz,Marrakech-Safi,31.469922,-8.214114,2824275
24,Agdz,Ouarzazate,Drâa-Tafilalet,30.700772,-6.472104,2884947
25,Aghbal,Berkane,Oriental,34.938984,-2.138465,2447392
26,Aghbala,Khénifra,Béni Mellal-Khénifra,32.414256,-5.612154,2882832
27,Aghbalou,Khénifra,Béni Mellal-Khénifra,32.66436,-5.259295,2826598
28,Aghbalou Aqorar,Sefrou,Fès-Meknès,33.8912,-4.789562,2808832
29,Aghbalou N'Kerdous,Tinghir,Drâa-Tafilalet,31.676792,-5.306748,2827208
