Region,Province,Secteur,Localite,Statut_P_sergenti,Details_localites_dates,Source,recherche manuel 
Béni Mellal-Khénifra,Azilal,,,Oui (capture entomologique confirmée),"Ait Chribou; foyer CL à L. tropica; P. sergenti = 45,75% des captures (le plus abondant), infection à L. tropica 5,7%",PLOS NTD 2015 (doi:10.1371/journal.pntd.0003687) ; Parasites & Vectors 2012 (PMC3359231) ; JLE Afourer
Béni Mellal-Khénifra,Béni Mellal,,,Aucune documentation trouvée,,-
Béni Mellal-Khénifra,Fquih Ben Salah,,,Aucune documentation trouvée,,-
Béni Mellal-Khénifra,Khouribga,,,Aucune documentation trouvée,,-
Béni Mellal-Khénifra,Khénifra,,,Aucune documentation trouvée,,-
Casablanca-Settat,Settat,,,Oui (capture entomologique confirmée),"Localité Lbrouj, étude de sensibilité aux insecticides sur P. sergenti sauvage",Parasites & Vectors 2012 (PMC3359231)
Drâa-Tafilalet,Errachidia,,,"Mention indirecte (foyer L. tropica cité, pas de capture confirmée trouvée)",Cité comme foyer récent de L. tropica (historiquement L. major),ResearchGate - Ouazzane/Sidi Kacem CL paper
Drâa-Tafilalet,Midelt,,,Aucune documentation trouvée,,-
Drâa-Tafilalet,Ouarzazate,,,Oui (étude génétique sur spécimens capturés),"Un des 4 foyers étudiés (avec Taza, Foum Jemâa, El Hanchane) pour la structure génétique de P. sergenti",PubMed 36610984
Drâa-Tafilalet,Tinghir,,,Oui (capture entomologique confirmée),"Localité Boumalne, étude de sensibilité aux insecticides",Parasites & Vectors 2012 (PMC3359231)
Drâa-Tafilalet,Zagora,,,"Oui (capture confirmée, mais faible abondance : 1,27%)","10 villages étudiés, P. papatasi dominant, P. sergenti minoritaire",Academia.edu / Ghardaïa paper citant l'étude Zagora 2019
Fès-Meknès,Boulemane,,,Oui (capture entomologique confirmée),"Localités Bouassam, Ait Oublal",Parasites & Vectors 2012 (PMC3359231)
Fès-Meknès,El Hajeb,,,"Mention indirecte (proximité des foyers Fès/Meknès, pas de capture confirmée trouvée)",,European Scientific Journal 2019
Fès-Meknès,Fès,,,Oui (capture entomologique confirmée),"816 spécimens collectés 2017-2018, P. sergenti = 26,96% (espèce dominante du genre Phlebotomus)",Tropical Journal of Natural Product Research 2022
Fès-Meknès,Ifrane,,,Aucune documentation trouvée,,-
Fès-Meknès,Meknès,,,"Mention indirecte (cas cliniques hospitaliers, vecteur présumé mais pas de capture confirmée trouvée)",49-52 cas de LC diagnostiqués à l'hôpital militaire Moulay Ismaïl 2005-2012,CHU Fès / ResearchGate
Fès-Meknès,Moulay Yacoub,,,"Mention indirecte (foyer épidémique L. tropica MON-102 documenté, pas de capture confirmée trouvée)",Épidémie de 1600 cas en 2001 (Zouagha-Moulay Yacoub),Pathology Research Int. 2015 ; ResearchGate
Fès-Meknès,Sefrou,,,Oui (capture entomologique confirmée),"Localité Aichoun/Aichoune, P. sergenti dominant (78,4% en 2012 ; 32,42% en 2013-2014)",PMC4337056 ; PMC (Sefrou impact study)
Fès-Meknès,Taounate,,,"Oui (population étudiée génétiquement, confirmant la présence)",Site utilisé pour étude de variabilité isoenzymatique des populations de P. sergenti,ResearchGate - Phlebotomine sandflies of southern Morocco
