modele,MAE,RMSE,MedAE,Deviance_Poisson,Spearman,R2,Erreur_pic_mois
XGBoost,3.866702079772949,8.730407578085469,1.590517520904541,8.861116409301758,0.33708998821856584,0.11594158411026001,2.5
LightGBM,3.881291732454476,8.795232477378605,1.5702832814459606,8.9843613778428,0.32761695359977383,0.10276425551738999,2.607142857142857
Poisson GLM,3.90425059766079,8.799417221721486,1.7468830888120213,9.100088632539224,0.32140766111017793,0.10191024842810659,2.5357142857142856
CatBoost,3.906418252619668,8.978028863736206,1.5908290562936602,9.295777163964992,0.3495649740399411,0.06508115288196548,3.2142857142857144
Extra Trees,4.061849201166981,8.779657380934653,2.0245176707644323,9.201942454647668,0.3367883655678329,0.1059391937219688,2.607142857142857
Negative Binomial GLM,4.0821743642933335,8.953802221874131,1.709694394710275,9.37104649820895,0.33364730915767826,0.07011998372184458,2.5357142857142856
Gradient Boosting,4.1108073031664585,9.17184206018008,1.8615308852695112,10.087903253620421,0.2780659633826257,0.024280340981922555,3.4642857142857144
Zero-Inflated NB,4.117868003332707,8.96289743856337,1.6483419883334824,9.293428762294376,0.340848479656819,0.0682298915462175,2.5357142857142856
Random Forest,4.141054364924882,8.823028783837465,1.9382773558688564,9.34169980085757,0.3242540784694569,0.09708407605400882,2.5
"GAM (Poisson, splines)",4.309089935600377,9.190071882061813,1.8060851711528596,10.245209133608268,0.22845033194705128,0.02039783357258229,2.9285714285714284
