province,region,n_communes,lct_cases,evidence_type,psi_mean,psi_sd,psi_q05,psi_q50,psi_q95
Chefchaouen,Tanger-Tétouan-Al Hoceïma,30,56,confirmed_capture,0.9897204255770297,0.023237788809435087,0.9567577041924578,0.9971994232750226,0.9999511576034227
Tétouan,Tanger-Tétouan-Al Hoceïma,18,80,confirmed_capture,0.987292450233755,0.02489362402283642,0.9481659420425738,0.9954221905113734,0.9998609569238764
Taounate,Fès-Meknès,59,1414,confirmed_capture,0.9852139969045863,0.02598446083658454,0.9418990934338699,0.9939776912987008,0.9997864709608072
Ifrane,Fès-Meknès,8,3,epi_only,0.9848290092015262,0.03430477878447374,0.9350775913568395,0.9960119508163756,0.999922369172224
Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,12,7,epi_only,0.9847930088628122,0.03161900448277011,0.9372895245669546,0.994675800777627,0.9998446001392267
Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,7,8,epi_only,0.9839571168252289,0.03191223916749619,0.94018725608476,0.9936291336951318,0.9997085580724806
Larache,Tanger-Tétouan-Al Hoceïma,24,193,unverified_capture,0.9835188370906665,0.029843296933600934,0.9324298608828344,0.994284132103022,0.9998529367815674
Sefrou,Fès-Meknès,21,839,confirmed_capture,0.9831368614799387,0.029071986448795165,0.9361268075245452,0.9924861842485946,0.9996647106365809
M'diq-Fnideq,Tanger-Tétouan-Al Hoceïma,4,4,epi_only,0.982097446555664,0.03309445902391563,0.9293524256075676,0.9930931055020357,0.9996559095933502
El Hajeb,Fès-Meknès,10,14,unverified_capture,0.9819351630955977,0.0267790933233669,0.9368700700425378,0.9910926939570903,0.9995393636677791
Ouezzane,Tanger-Tétouan-Al Hoceïma,31,736,unverified_capture,0.981261573975284,0.03764216185813544,0.9185061698692412,0.9943431049856102,0.9998616101418052
Taza,Fès-Meknès,36,1568,confirmed_capture,0.9812554976086567,0.029215335662250774,0.9324480385977161,0.9906416314739441,0.9994546507022859
Al Hoceïma,Tanger-Tétouan-Al Hoceïma,30,171,unverified_capture,0.9791532519777184,0.03553317816359476,0.9238405475589788,0.9907743624074119,0.999321015017737
Khénifra,Béni Mellal-Khénifra,29,11,epi_only,0.9779079586924807,0.039100240902792106,0.9107028574647963,0.9912624380330728,0.999682344584156
