num_leaves,learning_rate,n_estimators,min_child_samples,max_depth,R2_val,MAE_val,RMSE_val
63,0.1,800,50,-1,0.5947282069559083,0.07150760221492762,0.5784686807688312
15,0.1,800,50,6,0.5097324384528767,0.15456646063534013,0.6362433281015517
127,0.1,800,50,6,0.5089997300467234,0.10596820081884394,0.6367185857198275
127,0.1,500,10,-1,0.5072329528662809,0.06868232062233973,0.6378631163636808
127,0.01,800,10,-1,0.4757270548058322,0.15152465871131418,0.657938628185549
31,0.05,800,50,6,0.4732541371716149,0.15625457668240378,0.6594885021109215
15,0.05,500,20,10,0.46030802856529507,0.20495740980343935,0.667543605857513
15,0.05,800,20,10,0.4524144189778242,0.18388806426548987,0.6724076774315785
15,0.01,800,20,-1,0.4386086387257764,0.24544267934691494,0.6808313169976477
31,0.1,800,10,10,0.4375552371163426,0.10310521249842186,0.6814697777349736
15,0.01,800,10,-1,0.43663510598789146,0.24543397926775085,0.6820269749518917
15,0.01,800,20,10,0.436464095379516,0.2461235931731093,0.6821304824648595
15,0.01,500,50,6,0.43524649518648506,0.2617472329489498,0.682867005237521
31,0.05,300,10,-1,0.43353058994745763,0.19740958888416696,0.6839036047301567
31,0.05,500,20,6,0.4313530837831683,0.18011919185876943,0.6852168053274307
31,0.05,200,50,6,0.4311344662021138,0.22218495864625598,0.6853485092382363
31,0.03,500,20,10,0.42101900228832223,0.19702939915648565,0.6914150311678069
127,0.01,200,10,-1,0.4185863836345748,0.27923618958209484,0.6928660167023859
15,0.05,300,50,10,0.41776313784694874,0.22610640347578626,0.6933563709389895
31,0.05,300,20,-1,0.4114263627512179,0.19722587279531298,0.6971192325236503
31,0.03,300,20,-1,0.4094439631017598,0.21925398102876714,0.6982922439562497
127,0.05,300,20,6,0.4061699768240734,0.19977631635010923,0.7002252013872755
