rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
1,""" """,Taounate,17,M'tioua,0.2,N'Kob,0.25,Tinghir,0.9747706422018348,
2,My Bouchta,Taounate,11,Bni Bouchibet,0.609,Moulay Bouchta,0.833,Moulay Yacoub,1.6055045871559632,
3,Bab Wandar,Taounate,7,Jbabra,0.5,Bab Taza,0.667,Chefchaouen,2.006880733944954,
4,Sebbab,Taza,7,Smià,0.4,Assebbab,0.857,Guercif,2.408256880733945,
5,S Y B Z,Taounate,7,Sidi Yahya Bni Zeroual,0.483,Sidi Yahya Bni Zeroual,0.483,Taounate,2.809633027522936,
6,Dar kebdani,Nador,7,Arekmane,0.526,Dar El Kebdani,0.88,Driouch,3.2110091743119265,
7,Municipalité,Tétouan,6,Mallalienne,0.435,Mzilate,0.526,Chichaoua,3.555045871559633,
8,Ajdir,Taza,6,Bab Boudir,0.533,Ajdir 2,0.833,Al Hoceïma,3.8990825688073394,
9,M.B.Mellal,Béni Mellal,6,Beni Mellal,0.667,Beni Mellal,0.667,Béni Mellal,4.243119266055046,
10,Oulad Harti,Larache,5,Oulad Ouchih,0.696,Oulad Chrif,0.818,Taza,4.529816513761468,
11,Menara,Chichaoua,5,Majjat,0.5,Mnasra,0.833,Kénitra,4.81651376146789,
12,Rhouazi,Taounate,5,Rghioua,0.714,Ghouazi,0.857,Moulay Yacoub,5.103211009174312,
13,Ait Atab,Azilal,5,Aït Abbas,0.706,Ait Taleb,0.824,Rehamna,5.389908256880734,
14,A.Taourirt,Al Hoceïma,5,Arbaa Taourirt,0.75,Taourirt,0.889,Taourirt,5.676605504587156,
15,ait brahim,Tinghir,5,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,5.963302752293578,
16,A.Y.Ouali,Al Hoceïma,5,Rouadi,0.533,Oualili,0.625,Meknès,6.25,
17,Taghgigt,Guelmim,5,Tiglit,0.571,Taghzirt,0.75,Béni Mellal,6.536697247706422,
18,c boumalne,Tinghir,5,Boumalne Dadès,0.667,Boulemane,0.737,Boulemane,6.823394495412844,
19,sekoura,Sefrou,5,Sefrou,0.615,Meskoura,0.8,Khouribga,7.110091743119266,
20,Al ouhda,Taza,5,El Gouzate,0.556,Al Oued,0.8,Chefchaouen,7.396788990825688,
21,Kelaa,El Kelâa des Sraghna,5,El Aamria,0.571,Melaab,0.727,Errachidia,7.68348623853211,
22,Ait Tazarin,Tinghir,5,Aït Elfarsi,0.636,Tazarine,0.737,Taza,7.970183486238532,
23,Taouima,Nador,5,Al Aroui,0.533,Touama,0.769,Marrakech,8.256880733944953,
24,Beni Garfat,Larache,5,Bni Garfett,0.818,Bni Garfett,0.818,Larache,8.543577981651376,
25,Farkhana,Nador,5,Arekmane,0.625,Argana,0.714,Taroudant,8.830275229357799,
26,Bouzmlane,Taza,5,Bouyablane,0.737,Boulemane,0.778,Boulemane,9.11697247706422,
27,B.E.O,Azilal,5,Bin El Ouidane,0.316,Bzou,0.444,El Kelâa des Sraghna,9.403669724770642,
28,Bibane,Taounate,5,El Bibane,0.8,El Bibane,0.8,Taounate,9.690366972477063,
29,Bssabssa,Taounate,5,Messassa,0.75,Messassa,0.75,Taounate,9.977064220183486,
30,Al quods,Taza,5,Bab Boudir,0.444,Al Oued,0.667,Chefchaouen,10.263761467889909,
31,H K,Sidi Kacem,5,Sidi Kacem,0.308,N'Kob,0.5,Tinghir,10.55045871559633,
32,Dhar,Essaouira,5,Had Dra,0.545,Adar,0.75,Tata,10.837155963302752,
33,Bkakcha,Settat,4,Dar Chaffai,0.444,Brikcha,0.714,Ouezzane,11.06651376146789,
34,B.S.jbel,Nador,4,Bni Sidel Jbel,0.545,Jbiel,0.615,El Kelâa des Sraghna,11.295871559633028,
35,A S S gharbia,Tinghir,4,Ait Sedrate Sahl El Gharbia,0.65,Had Al Gharbia,0.741,Tanger-Assilah,11.525229357798166,
36,AS jberl,Tinghir,4,Assoul,0.429,Sidi Jaber,0.667,Béni Mellal,11.754587155963304,
37,laamarcha,Settat,4,Dar Chaffai,0.5,Laamamra,0.824,Chichaoua,11.98394495412844,
38,***,Al Haouz,4,Zerkten,0.0,Zrizer,0.0,Taounate,12.213302752293576,
39,tazitount,Chichaoua,4,Ain Tazitounte,0.783,Ain Tazitounte,0.783,Chichaoua,12.442660550458717,
40,Babmrouj,Taza,4,Bab Marzouka,0.7,Bab Marzouka,0.7,Taza,12.672018348623851,
41,M.I.B.D,Azilal,4,Moulay Aissa Ben Driss,0.276,Mibladen,0.533,Midelt,12.90137614678899,
42,Guéliz,Tinghir,4,Ouaklim,0.462,Guelmim,0.769,Guelmim,13.130733944954128,
43,Hajra,Béni Mellal,4,Had Bradia,0.533,Anjra,0.8,Fahs-Anjra,13.360091743119266,
