date,annee,mois,cas,temp_moy,precip_mm,humidite_pct,temp_moy_lag0,temp_moy_lag1,temp_moy_lag2,temp_moy_lag3,temp_moy_lag4,temp_moy_lag5,temp_moy_lag6,temp_moy_lag7,temp_moy_lag8,temp_moy_lag9,temp_moy_lag10,temp_moy_lag11,temp_moy_lag12
2009-01-01,2009,1,37.0,3.78,142.14,76.7,3.78,6.25,9.86,10.76,16.62,20.03,25.25,24.56,17.31,17.24,12.2,9.12,6.35
2009-02-01,2009,2,72.0,6.25,132.89,71.1,6.25,9.86,10.76,16.62,20.03,25.25,24.56,17.31,17.24,12.2,9.12,6.35,9.4
2009-03-01,2009,3,159.0,9.86,144.96,70.4,9.86,10.76,16.62,20.03,25.25,24.56,17.31,17.24,12.2,9.12,6.35,9.4,11.2
2009-04-01,2009,4,102.0,10.76,6.09,61.5,10.76,16.62,20.03,25.25,24.56,17.31,17.24,12.2,9.12,6.35,9.4,11.2,14.31
2009-05-01,2009,5,128.0,16.62,35.84,54.2,16.62,20.03,25.25,24.56,17.31,17.24,12.2,9.12,6.35,9.4,11.2,14.31,14.99
2009-06-01,2009,6,32.0,20.03,34.2,53.1,20.03,25.25,24.56,17.31,17.24,12.2,9.12,6.35,9.4,11.2,14.31,14.99,18.55
2009-07-01,2009,7,11.0,25.25,12.34,35.8,25.25,24.56,17.31,17.24,12.2,9.12,6.35,9.4,11.2,14.31,14.99,18.55,24.85
2009-08-01,2009,8,10.0,24.56,10.05,38.2,24.56,17.31,17.24,12.2,9.12,6.35,9.4,11.2,14.31,14.99,18.55,24.85,25.42
2009-09-01,2009,9,5.0,17.31,108.5,65.8,17.31,17.24,12.2,9.12,6.35,9.4,11.2,14.31,14.99,18.55,24.85,25.42,21.59
2009-10-01,2009,10,21.0,17.24,13.56,52.9,17.24,12.2,9.12,6.35,9.4,11.2,14.31,14.99,18.55,24.85,25.42,21.59,14.47
2009-11-01,2009,11,13.0,12.2,14.91,50.8,12.2,9.12,6.35,9.4,11.2,14.31,14.99,18.55,24.85,25.42,21.59,14.47,10.41
2009-12-01,2009,12,31.0,9.12,77.4,68.2,9.12,6.35,9.4,11.2,14.31,14.99,18.55,24.85,25.42,21.59,14.47,10.41,9.81
2010-01-01,2010,1,47.0,6.35,125.62,72.7,6.35,9.4,11.2,14.31,14.99,18.55,24.85,25.42,21.59,14.47,10.41,9.81,7.17
2010-02-01,2010,2,57.0,9.4,120.65,73.7,9.4,11.2,14.31,14.99,18.55,24.85,25.42,21.59,14.47,10.41,9.81,7.17,6.7
2010-03-01,2010,3,202.0,11.2,103.05,70.0,11.2,14.31,14.99,18.55,24.85,25.42,21.59,14.47,10.41,9.81,7.17,6.7,8.47
2010-04-01,2010,4,92.0,14.31,39.5,67.6,14.31,14.99,18.55,24.85,25.42,21.59,14.47,10.41,9.81,7.17,6.7,8.47,13.46
2010-05-01,2010,5,60.0,14.99,32.56,55.2,14.99,18.55,24.85,25.42,21.59,14.47,10.41,9.81,7.17,6.7,8.47,13.46,15.76
2010-06-01,2010,6,35.0,18.55,9.07,52.4,18.55,24.85,25.42,21.59,14.47,10.41,9.81,7.17,6.7,8.47,13.46,15.76,20.76
2010-07-01,2010,7,16.0,24.85,53.64,45.4,24.85,25.42,21.59,14.47,10.41,9.81,7.17,6.7,8.47,13.46,15.76,20.76,23.27
2010-08-01,2010,8,12.0,25.42,11.61,34.6,25.42,21.59,14.47,10.41,9.81,7.17,6.7,8.47,13.46,15.76,20.76,23.27,24.41
2010-09-01,2010,9,12.0,21.59,39.19,49.8,21.59,14.47,10.41,9.81,7.17,6.7,8.47,13.46,15.76,20.76,23.27,24.41,20.74
2010-10-01,2010,10,20.0,14.47,102.78,66.4,14.47,10.41,9.81,7.17,6.7,8.47,13.46,15.76,20.76,23.27,24.41,20.74,16.15
2010-11-01,2010,11,26.0,10.41,52.93,67.2,10.41,9.81,7.17,6.7,8.47,13.46,15.76,20.76,23.27,24.41,20.74,16.15,9.03
2010-12-01,2010,12,52.0,9.81,39.34,59.8,9.81,7.17,6.7,8.47,13.46,15.76,20.76,23.27,24.41,20.74,16.15,9.03,7.02
2011-01-01,2011,1,77.0,7.17,36.12,62.4,7.17,6.7,8.47,13.46,15.76,20.76,23.27,24.41,20.74,16.15,9.03,7.02,5.43
2011-02-01,2011,2,43.0,6.7,26.8,60.7,6.7,8.47,13.46,15.76,20.76,23.27,24.41,20.74,16.15,9.03,7.02,5.43,4.51
2011-03-01,2011,3,71.0,8.47,98.91,63.1,8.47,13.46,15.76,20.76,23.27,24.41,20.74,16.15,9.03,7.02,5.43,4.51,11.52
2011-04-01,2011,4,59.0,13.46,134.46,63.0,13.46,15.76,20.76,23.27,24.41,20.74,16.15,9.03,7.02,5.43,4.51,11.52,9.71
2011-05-01,2011,5,44.0,15.76,129.07,69.1,15.76,20.76,23.27,24.41,20.74,16.15,9.03,7.02,5.43,4.51,11.52,9.71,17.73
2011-06-01,2011,6,34.0,20.76,66.45,53.8,20.76,23.27,24.41,20.74,16.15,9.03,7.02,5.43,4.51,11.52,9.71,17.73,22.18
2011-07-01,2011,7,20.0,23.27,9.01,47.1,23.27,24.41,20.74,16.15,9.03,7.02,5.43,4.51,11.52,9.71,17.73,22.18,25.23
2011-08-01,2011,8,9.0,24.41,28.22,44.1,24.41,20.74,16.15,9.03,7.02,5.43,4.51,11.52,9.71,17.73,22.18,25.23,26.23
2011-09-01,2011,9,1.0,20.74,10.93,47.0,20.74,16.15,9.03,7.02,5.43,4.51,11.52,9.71,17.73,22.18,25.23,26.23,20.26
2011-10-01,2011,10,28.0,16.15,49.35,48.6,16.15,9.03,7.02,5.43,4.51,11.52,9.71,17.73,22.18,25.23,26.23,20.26,15.46
2011-11-01,2011,11,14.0,9.03,143.12,71.4,9.03,7.02,5.43,4.51,11.52,9.71,17.73,22.18,25.23,26.23,20.26,15.46,10.42
2011-12-01,2011,12,47.0,7.02,5.09,66.2,7.02,5.43,4.51,11.52,9.71,17.73,22.18,25.23,26.23,20.26,15.46,10.42,6.8
2012-01-01,2012,1,47.0,5.43,46.75,57.4,5.43,4.51,11.52,9.71,17.73,22.18,25.23,26.23,20.26,15.46,10.42,6.8,6.56
2012-02-01,2012,2,61.0,4.51,12.81,56.8,4.51,11.52,9.71,17.73,22.18,25.23,26.23,20.26,15.46,10.42,6.8,6.56,7.43
2012-03-01,2012,3,57.0,11.52,33.23,45.5,11.52,9.71,17.73,22.18,25.23,26.23,20.26,15.46,10.42,6.8,6.56,7.43,10.51
2012-04-01,2012,4,45.0,9.71,134.55,72.3,9.71,17.73,22.18,25.23,26.23,20.26,15.46,10.42,6.8,6.56,7.43,10.51,13.22
2012-05-01,2012,5,62.0,17.73,8.7,50.1,17.73,22.18,25.23,26.23,20.26,15.46,10.42,6.8,6.56,7.43,10.51,13.22,14.36
2012-06-01,2012,6,18.0,22.18,13.25,46.6,22.18,25.23,26.23,20.26,15.46,10.42,6.8,6.56,7.43,10.51,13.22,14.36,20.6
2012-07-01,2012,7,23.0,25.23,14.24,33.3,25.23,26.23,20.26,15.46,10.42,6.8,6.56,7.43,10.51,13.22,14.36,20.6,24.45
2012-08-01,2012,8,10.0,26.23,12.18,26.6,26.23,20.26,15.46,10.42,6.8,6.56,7.43,10.51,13.22,14.36,20.6,24.45,25.22
