groupe,feature,target,n,spearman_rho,spearman_p,pearson_r,pearson_p
national,temp_moy,total_cas,1503,-0.17102836846560673,2.4852238927517427e-11,-0.04759800301059195,0.06506436179762277
national,temp_moy,incidence_100k,1425,-0.19946000713148504,2.9767498762301516e-14,-0.07543096472879451,0.004385449747129093
national,precip_mm,total_cas,1503,0.2946319350049246,1.7509434216342131e-31,0.04219947298304943,0.10196952383285719
national,precip_mm,incidence_100k,1425,0.29416227405439427,7.709261069169943e-30,0.040005414938989736,0.13118374426254406
national,humidite_pct,total_cas,1503,0.024223124559312442,0.3480123556513358,-0.04222317950126109,0.10177702534720032
national,humidite_pct,incidence_100k,1425,0.011914441345722775,0.6531564302411287,-0.06829799168336585,0.009910345823813296
national,aridity_index,total_cas,1503,0.2930407457791983,3.794678641382644e-31,0.04131414996929322,0.10936796742763381
national,aridity_index,incidence_100k,1425,0.2947630267867163,5.840329861907288e-30,0.04048576347202213,0.1266145649036329
national,lai,total_cas,1503,0.1505070684019139,4.5317022412237194e-09,0.06927739069553973,0.0072145008016496585
national,lai,incidence_100k,1425,0.14992820371353852,1.2938815195868648e-08,0.08240521897678903,0.0018501092291575436
national,elevation_m,total_cas,1503,0.07053090417355776,0.00622831923418612,0.070401464869903,0.006324219064350791
national,elevation_m,incidence_100k,1425,0.09937186488659185,0.0001718137815066113,0.10932974559346688,3.535833738341997e-05
national,pop_total,total_cas,1425,0.23362547979856368,4.0585001465721944e-19,0.019766270507766547,0.4559221376205403
national,pop_total,incidence_100k,1425,0.14354418977705694,5.2648750331655264e-08,-0.015348074553648831,0.5626547779635022
Plaine/Plateau,temp_moy,total_cas,802,-0.02211972527840773,0.5316289333816857,0.08405605893340072,0.0172687002751212
Plaine/Plateau,temp_moy,incidence_100k,755,-0.05141504611755884,0.158145110487589,0.04501238493129813,0.21668387359716984
Plaine/Plateau,precip_mm,total_cas,802,0.265703652818461,1.99693563602965e-14,0.08286425268071296,0.01892219607329572
Plaine/Plateau,precip_mm,incidence_100k,755,0.2760857150733086,1.1261994897955525e-14,0.04924521514172155,0.17647068555816087
Plaine/Plateau,humidite_pct,total_cas,802,0.04278223928960023,0.22618661766886952,-0.04969319991971998,0.1597343759372177
Plaine/Plateau,humidite_pct,incidence_100k,755,0.052228764683186525,0.15165665687130608,-0.02662119283264706,0.46514877798376014
Plaine/Plateau,aridity_index,total_cas,802,0.2639790245711046,2.97688333091132e-14,0.07451099434279504,0.03487868507338504
Plaine/Plateau,aridity_index,incidence_100k,755,0.27623612816784,1.0881303273973577e-14,0.04371402735622663,0.23024608051727924
Plaine/Plateau,lai,total_cas,802,0.13031506048724728,0.00021517037173243573,0.05916357646707558,0.0940632811595179
Plaine/Plateau,lai,incidence_100k,755,0.14314092440113496,7.915436830241696e-05,0.08024855091951318,0.027460129653213147
Plaine/Plateau,elevation_m,total_cas,802,-0.05547970979553753,0.11643322890918865,-0.022808095370442226,0.5189319197006373
Plaine/Plateau,elevation_m,incidence_100k,755,-0.04019030142401487,0.2700552202863829,-0.008567966905283197,0.8141788324728707
Plaine/Plateau,pop_total,total_cas,755,0.19886262026179627,3.582777770996654e-08,0.043488212698402536,0.2326650525645193
Plaine/Plateau,pop_total,incidence_100k,755,0.09929663143577036,0.006321337462236865,-0.025007662152512503,0.49264317789034107
Montagne/Atlas,temp_moy,total_cas,583,-0.07029332666892987,0.08993979876169339,-0.00030984461513967367,0.9940436366395611
Montagne/Atlas,temp_moy,incidence_100k,561,-0.10072576456616508,0.017010315780094227,-0.01827447023177516,0.6658072012733975
Montagne/Atlas,precip_mm,total_cas,583,0.20826531737639498,3.9037534200847686e-07,0.01065343652807326,0.797420697139414
Montagne/Atlas,precip_mm,incidence_100k,561,0.2075360081500931,7.096408109300583e-07,0.008161012473483546,0.8470613823240618
Montagne/Atlas,humidite_pct,total_cas,583,0.09785574315052556,0.018109635092727297,-0.011599753919712796,0.7798696472691958
Montagne/Atlas,humidite_pct,incidence_100k,561,0.08627980827746001,0.04106950088145648,-0.04089279040141998,0.33364013617802385
Montagne/Atlas,aridity_index,total_cas,583,0.1929695585125123,2.6855698656860404e-06,0.005394276069194458,0.8965914871812132
Montagne/Atlas,aridity_index,incidence_100k,561,0.19448886380695124,3.472905580171982e-06,0.002383428677484315,0.9550815340857153
Montagne/Atlas,lai,total_cas,583,0.035757253478851,0.38880002030177285,0.07047819480547958,0.08909592269314218
Montagne/Atlas,lai,incidence_100k,561,0.022952620108008654,0.5874728840691155,0.07830445967130352,0.06382715629640008
Montagne/Atlas,elevation_m,total_cas,583,-0.008624782370395538,0.8353806967950721,0.00664295085361601,0.872838393875063
Montagne/Atlas,elevation_m,incidence_100k,561,0.02789037586386656,0.5097348534893349,0.03520405104801523,0.40528389346047045
Montagne/Atlas,pop_total,total_cas,561,0.33335755026528885,5.009662868587047e-16,0.23591261097768407,1.5562448273979746e-08
Montagne/Atlas,pop_total,incidence_100k,561,0.22352759168590733,8.77679526636857e-08,0.04030323339683017,0.34066214699239494
Aride/Saharien,temp_moy,total_cas,118,0.006636291184173674,0.9431415213298197,-0.0010586285714024148,0.9909224750392249
Aride/Saharien,temp_moy,incidence_100k,109,0.023002673170413376,0.8123327940603804,0.07112436145428153,0.4623816811880022
Aride/Saharien,precip_mm,total_cas,118,0.011849744160283926,0.8986591390173553,0.021294124167641326,0.8189645449043214
Aride/Saharien,precip_mm,incidence_100k,109,-0.0017728457164095086,0.9854029762689507,-0.05046503615033631,0.6022772770323944
Aride/Saharien,humidite_pct,total_cas,118,0.014427507020693994,0.8767720008498693,0.04758995072749104,0.6088286779255657
Aride/Saharien,humidite_pct,incidence_100k,109,0.004538485034008342,0.9626430302407369,0.04813463690958275,0.619164431054606
Aride/Saharien,aridity_index,total_cas,118,0.007440031851324004,0.9362689156055938,0.02146294391733673,0.8175541532532007
Aride/Saharien,aridity_index,incidence_100k,109,-0.007534594294740412,0.9380208189750817,-0.05056858561627908,0.6015316783298451
Aride/Saharien,lai,total_cas,118,0.05326465802800209,0.566746371665517,0.044882607613983085,0.629377531782258
Aride/Saharien,lai,incidence_100k,109,0.03657968292817689,0.7057079824131196,-0.07670135112306313,0.42793968014691613
