region,province,commune,latitude,longitude
Béni Mellal-Khénifra,Azilal,Agoudi N'Lkhair,31.979971,-6.494068
Béni Mellal-Khénifra,Azilal,Ait Blal,31.677415,-6.699474
Béni Mellal-Khénifra,Azilal,Ait Bou Oulli,31.565143,-6.630486
Béni Mellal-Khénifra,Azilal,Ait M'Hamed,31.854783,-6.514304
Béni Mellal-Khénifra,Azilal,Ait Mazigh,32.00787,-6.354025
Béni Mellal-Khénifra,Azilal,Ait Ouaarda,32.141378,-6.53308
Béni Mellal-Khénifra,Azilal,Ait Taguella,31.935466,-6.739462
Béni Mellal-Khénifra,Azilal,Ait Tamlil,31.483706,-6.848471
Béni Mellal-Khénifra,Azilal,Azilal,31.958355,-6.579075
Béni Mellal-Khénifra,Azilal,Aït Abbas,31.740033,-6.615391
Béni Mellal-Khénifra,Azilal,Aït Majden,31.814463,-6.918951
Béni Mellal-Khénifra,Azilal,Bin El Ouidane,32.117967,-6.470435
Béni Mellal-Khénifra,Azilal,Bni Ayat,32.201445,-6.665729
Béni Mellal-Khénifra,Azilal,Bni Hassane,32.034735,-6.923799
Béni Mellal-Khénifra,Azilal,Demnate,31.72864,-7.014252
Béni Mellal-Khénifra,Azilal,Ighil N'Oumgoun,31.499918,-6.258334
Béni Mellal-Khénifra,Azilal,Imi N'Oulaoune,31.412013,-6.536584
Béni Mellal-Khénifra,Azilal,Imlil,31.761772,-7.011813
Béni Mellal-Khénifra,Azilal,Moulay Aissa Ben Driss,32.095747,-6.727326
Béni Mellal-Khénifra,Azilal,Ouaoula,31.798365,-6.785562
Béni Mellal-Khénifra,Azilal,Rfala,32.131423,-6.880997
Béni Mellal-Khénifra,Azilal,Sidi Boulkhalf,31.68599,-6.844411
Béni Mellal-Khénifra,Azilal,Tabant,31.661352,-6.328153
Béni Mellal-Khénifra,Azilal,Tabia,31.994948,-6.842146
Béni Mellal-Khénifra,Azilal,Tamda Noumercid,31.942017,-6.617483
Béni Mellal-Khénifra,Azilal,Tanant,31.907704,-6.92642
Béni Mellal-Khénifra,Azilal,Taounza,32.082389,-6.624243
Béni Mellal-Khénifra,Azilal,Tifni,31.641517,-6.951209
Béni Mellal-Khénifra,Azilal,Tisqi,32.09731,-6.81338
Béni Mellal-Khénifra,Azilal,Zaouiat Ahansal,31.846968,-6.069479
Béni Mellal-Khénifra,Béni Mellal,Afourar,32.195152,-6.518305
Béni Mellal-Khénifra,Béni Mellal,Ait Ouqabli,32.320219,-6.012975
