commune_id,commune,province,region,latitude,longitude,temp_mean,precip_annual
1,Aarab Sebbah Gheris,Errachidia,Drâa-Tafilalet,31.417241,-4.423419,21.86,73.65307692307692
2,Aarab Sebbah Ziz,Errachidia,Drâa-Tafilalet,31.487229,-3.994553,20.648846153846154,75.24153846153845
3,Abadou,El Kelâa des Sraghna,Marrakech-Safi,31.599657,-7.304719,15.87224358974359,587.2038461538461
4,Abaynou,Guelmim,Guelmim-Oued Noun,29.084087,-9.933778,19.379102564102563,144.7269230769231
5,Abdelghaya Souahel,Taounate,Fès-Meknès,34.78584,-4.652793,15.253012820512819,821.9830769230769
6,Abou Lakhal,Figuig,Oriental,32.289215,-1.511013,18.01775641025641,156.29307692307694
7,Abteh,Tan-Tan,Guelmim-Oued Noun,27.947122,-11.370393,19.755128205128205,66.08076923076922
8,Adaghas,Agadir-Ida Ou Tanane,Souss-Massa,30.896999,-9.34438,17.90179487179487,410.2553846153846
9,Adar,Tata,Souss-Massa,30.163767,-8.327102,15.555192307692309,407.70153846153846
10,Adassil,Chichaoua,Marrakech-Safi,31.142728,-8.480288,12.60173076923077,517.79
11,Aday,Assa-Zag,Guelmim-Oued Noun,29.206899,-9.302674,20.07448717948718,121.78999999999999
12,Adis,Tata,Souss-Massa,29.559643,-8.104511,23.359038461538464,64.83923076923077
13,Adrej,Boulemane,Fès-Meknès,33.643094,-4.444717,14.379551282051283,593.5969230769231
14,Afalla Issen,Chichaoua,Marrakech-Safi,31.037167,-8.927767,14.63429487179487,424.18999999999994
15,Afella Ighir,Chtouka-Aït Baha,Souss-Massa,29.566395,-8.777766,16.492820512820515,173.26230769230767
16,Afella N'Dra,Ouarzazate,Drâa-Tafilalet,30.807946,-6.507592,19.084230769230768,113.73153846153849
17,Aferkat,Guelmim,Guelmim-Oued Noun,28.684497,-10.370969,19.025000000000002,136.36692307692306
18,Afourar,Béni Mellal,Béni Mellal-Khénifra,32.195152,-6.518305,17.00871794871795,549.8023076923077
19,Afra,Ouarzazate,Drâa-Tafilalet,30.807318,-6.278328,19.19775641025641,111.91230769230769
20,Afsou,Driouch,Oriental,34.819776,-3.139035,17.209230769230768,290.723076923077
21,Agadir,Agadir-Ida Ou Tanane,Souss-Massa,30.422039,-9.580328,20.345641025641026,274.6407692307692
22,Agadir Melloul,Tata,Souss-Massa,30.248457,-7.752828,15.283076923076923,251.61307692307696
23,Agafay,Al Haouz,Marrakech-Safi,31.469922,-8.214114,17.72903846153846,353.2576923076923
24,Agdz,Ouarzazate,Drâa-Tafilalet,30.700772,-6.472104,20.135833333333334,113.60923076923075
25,Aghbal,Berkane,Oriental,34.938984,-2.138465,16.639358974358974,382.1546153846154
26,Aghbala,Khénifra,Béni Mellal-Khénifra,32.414256,-5.612154,12.579871794871796,691.0184615384617
27,Aghbalou,Khénifra,Béni Mellal-Khénifra,32.66436,-5.259295,12.637307692307692,555.4176923076922
28,Aghbalou Aqorar,Sefrou,Fès-Meknès,33.8912,-4.789562,16.941858974358972,632.5823076923077
29,Aghbalou N'Kerdous,Tinghir,Drâa-Tafilalet,31.676792,-5.306748,16.139230769230767,166.07076923076926
30,Aghbar,Taroudant,Souss-Massa,30.911876,-8.493933,12.943589743589744,366.09076923076924
31,Aghouatim,Al Haouz,Marrakech-Safi,31.375211,-7.942429,16.14730769230769,528.3476923076923
32,Aghouinite,Aousserd,Dakhla-Oued Ed-Dahab,22.472411,-13.732572,26.217371794871795,40.79923076923077
33,Aglif,Essaouira,Marrakech-Safi,31.087244,-9.389432,18.002115384615383,343.69076923076926
34,Agoudi N'Lkhair,Azilal,Béni Mellal-Khénifra,31.979971,-6.494068,13.289679487179487,679.7346153846153
35,Agoudim,Midelt,Drâa-Tafilalet,32.376137,-5.036019,10.706858974358974,537.4499999999999
36,Agourai,El Hajeb,Fès-Meknès,33.634925,-5.592601,15.13,642.3623076923077
37,Aguelmam Azegza,Khénifra,Béni Mellal-Khénifra,32.930806,-5.426845,13.506217948717948,639.256923076923
38,Aguelmouss,Khénifra,Béni Mellal-Khénifra,33.132785,-5.840773,15.788653846153847,626.5938461538462
39,Aguerd,Essaouira,Marrakech-Safi,31.421454,-9.629902,18.933653846153845,259.17769230769227
40,Aguinane,Tata,Souss-Massa,30.108683,-7.449224,21.83826923076923,99.5476923076923
41,Ahdil,Chichaoua,Marrakech-Safi,31.613788,-8.864272,19.149102564102563,191.8553846153846
42,Ahermoumou,Sefrou,Fès-Meknès,33.817518,-4.418265,15.52352564102564,710.04
43,Ahfir,Berkane,Oriental,34.953502,-2.097042,17.796602564102564,384.4092307692307
44,Ahl Angad,Oujda-Angad,Oriental,34.692196,-1.849202,16.468333333333334,435.72307692307686
45,Ahl Oued Za,Taourirt,Oriental,34.291714,-2.806737,16.85794871794872,312.5869230769231
46,Ahl Ramel,Chtouka-Aït Baha,Souss-Massa,30.287733,-9.121799,20.49346153846154,261.60846153846154
47,Ahl Sidi Lahcen,Sefrou,Fès-Meknès,33.768974,-4.650138,15.366346153846154,672.4246153846154
48,Ahl Tifnoute,Al Haouz,Marrakech-Safi,30.964141,-7.859331,10.567371794871795,383.21538461538466
49,Ahlaf,Benslimane,Casablanca-Settat,33.27843,-7.08046,18.013782051282053,339.3723076923077
50,Ahmar Laglalcha,Taroudant,Souss-Massa,30.488869,-8.970463,21.95769230769231,283.2984615384616
51,Ain Bida,Fès,Fès-Meknès,33.986698,-4.892569,18.04448717948718,562.7107692307693
52,Ain Blal,Settat,Casablanca-Settat,32.530134,-7.653925,19.601794871794873,234.29923076923075
53,Ain Bni Mathar,Jerada,Oriental,34.018872,-2.026809,16.400576923076926,231.83153846153846
54,Ain Bou Ali,Fès,Fès-Meknès,34.130276,-4.994406,18.580384615384617,510.3953846153846
55,Ain Chair,Figuig,Oriental,32.220611,-2.509739,19.282179487179487,125.31307692307692
56,Ain Cheggag,Fès,Fès-Meknès,33.865829,-5.058957,17.64057692307692,573.4615384615383
57,Ain Chkef,Fès,Fès-Meknès,33.964255,-5.084967,18.250128205128206,542.5984615384616
58,Ain Dfali,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.607712,-5.556266,18.911025641025642,643.5061538461538
59,Ain Dorbane-Lahlaf,Khouribga,Béni Mellal-Khénifra,33.029451,-7.21858,17.383397435897436,397.0992307692307
60,Ain El Aouda,Skhirate-Témara,Rabat-Salé-Kénitra,33.802331,-6.79687,17.950833333333332,450.66076923076923
