rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
1,""" """,Taounate,17,M'tioua,0.2,N'Kob,0.25,Tinghir,1.225666906993511,
2,Municipalité,Tétouan,6,Mallalienne,0.435,Mzilate,0.526,Chichaoua,1.658255227108868,
3,H K,Sidi Kacem,5,Sidi Kacem,0.308,N'Kob,0.5,Tinghir,2.0187454938716654,
4,B.E.O,Azilal,5,Bin El Ouidane,0.316,Bzou,0.444,El Kelâa des Sraghna,2.379235760634463,
5,M.I.B.D,Azilal,4,Moulay Aissa Ben Driss,0.276,Mibladen,0.533,Midelt,2.667627974044701,
6,Rk,Guercif,4,Saka,0.333,Zarkat,0.5,Taounate,2.9560201874549388,
7,Passage,Chichaoua,4,Gmassa,0.615,Assa,0.727,Assa-Zag,3.2444124008651767,
8,Takerkoust,Al Haouz,4,Lalla Takarkoust,0.692,Tamegroute,0.7,Zagora,3.5328046142754146,
9,***,Al Haouz,4,Zerkten,0.0,Zrizer,0.0,Taounate,3.8211968276856525,
10,15éme GARE,Taza,3,El Gouzate,0.5,M'Garto,0.588,Khouribga,4.037490987743331,
11,Ihchach,Agadir-Ida Ou Tanane,3,Ait Aissi Ihahane,0.333,Tichla,0.615,Aousserd,4.253785147801009,
12,Iknioune,Ouarzazate,3,Toundoute,0.471,Ikniouen,0.875,Tinghir,4.470079307858688,
13,Jamila,Fquih Ben Salah,3,Bejaad,0.5,Msila,0.727,Taza,4.686373467916367,
14,Jiyarine,Taza,3,Barkine,0.667,Bni Yagrine,0.737,Settat,4.902667627974044,
15,Jnan ward,Fès,3,Ain Kansra,0.421,Ain Harrouda,0.571,Médiouna,5.118961788031723,
16,Kamoune,Béni Mellal,3,Naour,0.5,Zaïtoune,0.667,Tétouan,5.335255948089402,
17,Kebdani,Driouch,3,Dar El Kebdani,0.667,Dar El Kebdani,0.667,Driouch,5.55155010814708,
18,Foum er,Béni Mellal,3,Foum El Anceur,0.667,Foum Jemaa,0.706,El Kelâa des Sraghna,5.767844268204758,
19,Laanoucer,Sefrou,3,Laanoussar,0.737,Laanoussar,0.737,Sefrou,5.984138428262437,
20,Lalla Aicha,Sidi Kacem,3,Bab Tiouka,0.19,Laagagcha,0.7,Sidi Bennour,6.2004325883201155,
21,"M,Bouchta",Taounate,3,Bouhouda,0.588,Bouchfaa,0.706,Taza,6.416726748377794,
22,Mansoura,Chefchaouen,3,Bni Mansour,0.737,Mançoura,0.875,Taounate,6.633020908435472,
23,ighrmloulne,Tinghir,3,Aghbalou N'Kerdous,0.483,Tighedouine,0.636,Al Haouz,6.8493150684931505,
24,segangan,Nador,3,Zeghanghane,0.737,Zeghanghane,0.737,Nador,7.065609228550829,
25,Mbarek El bakay,Sefrou,3,Dar El Hamra,0.593,Dar El Hamra,0.593,Sefrou,7.281903388608508,
26,Medina,Al Haouz,3,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,7.498197548666186,
27,Bouargane,Agadir-Ida Ou Tanane,3,Imsouane,0.588,Ouirgane,0.824,Al Haouz,7.714491708723864,
28,ait idr,Tinghir,3,Aït Hani,0.667,Ait Said,0.8,Essaouira,7.930785868781543,
29,ait s jbel,Tinghir,3,Ait Sedrate Jbel El Oulia,0.571,Bni Sidel Jbel,0.667,Nador,8.147080028839222,
30,ait slimane,Tinghir,3,Aït Hani,0.632,Sidi Slimane,0.783,Sidi Slimane,8.3633741888969,
31,berraka,Nador,3,Hassi Berkane,0.5,Braksa,0.769,Khouribga,8.579668348954579,
32,boumalne k,Tinghir,3,Boumalne Dadès,0.75,Boumalne Dadès,0.75,Tinghir,8.795962509012258,
33,Bouazier,Azilal,3,Bin El Ouidane,0.455,Bouarg,0.714,Nador,9.012256669069934,
34,Menara,Tinghir,3,Imider,0.5,Mnasra,0.833,Kénitra,9.228550829127613,
35,Mesmoda,Ouezzane,3,Masmouda,0.8,Masmouda,0.8,Ouezzane,9.444844989185292,
36,Municipalité,Nador,3,Beni Chiker,0.435,Mzilate,0.526,Chichaoua,9.66113914924297,
37,MunicipalitéBM,Béni Mellal,3,Tilougguite,0.32,Bni Tadjite,0.48,Errachidia,9.877433309300649,
38,Bit goulem,Taza,3,Bni Lent,0.556,Sebt Gzoula,0.667,Safi,10.093727469358328,
39,My Idriss,Meknès,3,Moulay Idriss Zarhoun,0.6,Moulay Idriss Zarhoun,0.6,Meknès,10.310021629416006,
40,Od Youssef,Settat,3,Guisser,0.471,Ouled Youssef,0.87,Fquih Ben Salah,10.526315789473685,
41,"Ol,DAOUD",Taounate,3,Oulad Daoud,0.737,Oulad Daoud,0.737,Taounate,10.742609949531362,
42,Beni Gorfat,Larache,3,Bni Garfett,0.727,Bni Garfett,0.727,Larache,10.95890410958904,
43,Oued Laabid,Azilal,3,Agoudi N'Lkhair,0.538,Oued Naam,0.7,Errachidia,11.17519826964672,
44,Ouizghet,Taounate,3,Ourtzagh,0.625,Ouizeght,0.875,Midelt,11.391492429704398,
45,Oulad L'Harti,Larache,3,Oulad Ouchih,0.64,Oulad Chrif,0.75,Taza,11.607786589762076,
46,Barraca,Nador,3,Bouarg,0.462,Brachoua,0.667,Skhirate-Témara,11.824080749819755,
47,Tibihite,Béni Mellal,3,Tilougguite,0.526,Tighirt,0.667,Tiznit,12.040374909877434,
48,Tighboula,Béni Mellal,3,Timoulilt,0.556,Tigouga,0.75,Taroudant,12.256669069935112,
49,Walili,Meknès,3,Oualili,0.769,Talilit,0.769,Driouch,12.472963229992791,
50,agouidir,Chichaoua,3,Ighoud,0.571,Agoudim,0.8,Midelt,12.689257390050468,
51,Ben cheikh,Al Haouz,3,Ouneine,0.353,Beni Chiker,0.762,Nador,12.905551550108147,
52,R'Ghiwa,Taounate,3,Rghioua,0.714,Rghioua,0.714,Taounate,13.121845710165825,
53,Bab M'rouj,Taza,3,Bab Marzouka,0.727,Bab Marzouka,0.727,Taza,13.338139870223504,
54,Rquen,Tinghir,3,Ikniouen,0.462,Tafraouten,0.533,Taroudant,13.554434030281183,
55,S/R,Ouezzane,3,Sidi Bousber,0.4,Smara,0.5,Es-Semara,13.770728190338861,
56,Safsaf,Sidi Kacem,3,Selfat,0.333,Sefsaf,0.833,Sidi Slimane,13.98702235039654,
