rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
1,Lamzem,El Kelâa des Sraghna,28,Oulad Amer,0.5,Talzemt,0.615,Boulemane,1.0104655359076147,
2,Bourmane,Ouarzazate,23,Toundoute,0.471,Boulemane,0.824,Boulemane,1.8404907975460123,
3,ait tazarine,Tinghir,22,Aït Elfarsi,0.609,Tazarine,0.8,Taza,2.634428004330567,
4,Ghdira Hamra,Béni Mellal,22,Sidi Hammadi,0.583,Al Hamra,0.7,Chefchaouen,3.428365211115121,
5,Bouachiba,Azilal,20,Ouaoula,0.5,Boughriba,0.778,Berkane,4.150126308191989,
6,Boutaghrar,Tinghir,19,Outerbat,0.444,Boughriba,0.737,Berkane,4.835799350415012,
7,Skour,Boulemane,18,Missour,0.667,Meskoura,0.769,Khouribga,5.485384337784193,
8,Tassouit,Tinghir,18,Assoul,0.714,Tassousfi,0.824,Tata,6.134969325153374,
9,Tassouite,Tinghir,17,Assoul,0.667,Tassousfi,0.778,Tata,6.748466257668712,
10,Chahid Baha,Sefrou,17,Ahl Sidi Lahcen,0.538,Ait Baha,0.737,Chtouka-Aït Baha,7.361963190184049,
11,""" """,Taounate,17,M'tioua,0.2,N'Kob,0.25,Tinghir,7.975460122699387,
12,Ait tazarine,Tinghir,17,Aït Elfarsi,0.609,Tazarine,0.8,Taza,8.588957055214724,
13,Tislit,Azilal,15,Tisqi,0.727,Tiglit,0.833,Guelmim,9.130277878022374,
14,Bani Saden,Sefrou,15,Aït Seghrouchen,0.48,Bni Said,0.778,Tétouan,9.671598700830025,
15,Fariata,Béni Mellal,14,Had Bradia,0.471,Fraita,0.769,El Kelâa des Sraghna,10.176831468783833,
16,"S,A,B,B",Azilal,14,Aït Abbas,0.125,Sabbah,0.615,Skhirate-Témara,10.68206423673764,
17,Mzem,El Kelâa des Sraghna,13,Zemrane,0.545,Zemrane,0.545,El Kelâa des Sraghna,11.151208949837605,
18,Timolilte,Azilal,13,Imlil,0.714,Timoulilt,0.889,Béni Mellal,11.620353662937568,
19,Beni Sadden,Sefrou,13,Aït Seghrouchen,0.154,Bni Said,0.737,Tétouan,12.08949837603753,
20,Tdili,Azilal,12,Tisqi,0.6,Tilmi,0.8,Tinghir,12.522555034283652,
21,boutghrar,Tinghir,12,Outerbat,0.588,Boughriba,0.778,Berkane,12.955611692529773,
22,Iaazazen,Nador,12,Iaazzanene,0.778,Iaazzanene,0.778,Nador,13.388668350775893,
23,Aderj,Sefrou,12,Ahermoumou,0.4,Adrej,0.8,Boulemane,13.821725009022014,
24,Kouacem,Fquih Ben Salah,11,Rouached,0.667,Kouzemt,0.714,Essaouira,14.218693612414292,
25,My Bouchta,Taounate,11,Bni Bouchibet,0.609,Moulay Bouchta,0.833,Moulay Yacoub,14.615662215806568,
26,"A,Chefk",Al Haouz,11,Ahl Tifnoute,0.316,Tancherfi,0.625,Jerada,15.012630819198845,
27,Tirest,Azilal,11,Tisqi,0.545,Tiflet,0.667,Khemisset,15.409599422591123,
28,Yasmine,Sidi Kacem,11,Ain Jemaa,0.5,Lahsinate,0.625,Essaouira,15.806568025983399,
29,kabdani,Driouch,11,Dar El Kebdani,0.571,Tabant,0.615,Azilal,16.203536629375677,
30,Iminoulaouen,Ouarzazate,11,Toundoute,0.476,Imi N'Oulaoune,0.846,Azilal,16.600505232767954,
31,Ighilamgone,Tinghir,11,Kalaat M'Gouna,0.48,Ighil N'Oumgoun,0.692,Azilal,16.997473836160232,
32,Tibihit,Béni Mellal,10,Taghzirt,0.4,Tighirt,0.714,Tiznit,17.358354384698664,
33,Neknafa,Essaouira,10,Meskala,0.571,Tekna,0.667,Sidi Kacem,17.7192349332371,
34,lekhmiss,Tinghir,10,Souk Lakhmis Dades,0.538,Khémisset,0.706,Khemisset,18.080115481775533,
35,"A,Mediona",Taounate,10,Ain Mediouna,0.762,Médiouna,0.824,Nouaceur,18.440996030313965,
36,Boujediane,Larache,10,Souaken,0.471,Bou Jedyane,0.857,Ouezzane,18.8018765788524,
37,Bani saden,Sefrou,10,Aït Seghrouchen,0.48,Bni Said,0.778,Tétouan,19.162757127390833,
38,Ourbiaa,Béni Mellal,10,Naour,0.5,Ourika,0.769,Al Haouz,19.52363767592927,
