rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
1,Lamzem,El Kelâa des Sraghna,28,Oulad Amer,0.5,Talzemt,0.615,Boulemane,1.051840721262209,
2,Bourmane,Ouarzazate,23,Toundoute,0.471,Boulemane,0.824,Boulemane,1.9158527422990232,
3,ait tazarine,Tinghir,22,Aït Elfarsi,0.609,Tazarine,0.8,Taza,2.7422990232907587,
4,Ghdira Hamra,Béni Mellal,22,Sidi Hammadi,0.583,Al Hamra,0.7,Chefchaouen,3.568745304282494,
5,Bouachiba,Azilal,20,Ouaoula,0.5,Boughriba,0.778,Berkane,4.320060105184072,
6,Boutaghrar,Tinghir,19,Outerbat,0.444,Boughriba,0.737,Berkane,5.033809166040571,
7,Tassouit,Tinghir,18,Assoul,0.714,Tassousfi,0.824,Tata,5.709992486851991,
8,Skour,Boulemane,18,Missour,0.667,Meskoura,0.769,Khouribga,6.3861758076634105,
9,""" """,Taounate,17,M'tioua,0.2,N'Kob,0.25,Tinghir,7.024793388429752,
10,Tassouite,Tinghir,17,Assoul,0.667,Tassousfi,0.778,Tata,7.663410969196093,
11,Ait tazarine,Tinghir,17,Aït Elfarsi,0.609,Tazarine,0.8,Taza,8.302028549962435,
12,Chahid Baha,Sefrou,17,Ahl Sidi Lahcen,0.538,Ait Baha,0.737,Chtouka-Aït Baha,8.940646130728775,
13,Tislit,Azilal,15,Tisqi,0.727,Tiglit,0.833,Guelmim,9.50413223140496,
14,Bani Saden,Sefrou,15,Aït Seghrouchen,0.48,Bni Said,0.778,Tétouan,10.067618332081143,
15,Fariata,Béni Mellal,14,Had Bradia,0.471,Fraita,0.769,El Kelâa des Sraghna,10.593538692712247,
16,"S,A,B,B",Azilal,14,Aït Abbas,0.125,Sabbah,0.615,Skhirate-Témara,11.11945905334335,
17,Mzem,El Kelâa des Sraghna,13,Zemrane,0.545,Zemrane,0.545,El Kelâa des Sraghna,11.607813673929376,
18,Timolilte,Azilal,13,Imlil,0.714,Timoulilt,0.889,Béni Mellal,12.096168294515403,
19,Beni Sadden,Sefrou,13,Aït Seghrouchen,0.154,Bni Said,0.737,Tétouan,12.584522915101427,
20,Aderj,Sefrou,12,Ahermoumou,0.4,Adrej,0.8,Boulemane,13.035311795642373,
21,Iaazazen,Nador,12,Iaazzanene,0.778,Iaazzanene,0.778,Nador,13.486100676183321,
22,Tdili,Azilal,12,Tisqi,0.6,Tilmi,0.8,Tinghir,13.936889556724267,
23,boutghrar,Tinghir,12,Outerbat,0.588,Boughriba,0.778,Berkane,14.387678437265214,
24,Tirest,Azilal,11,Tisqi,0.545,Tiflet,0.667,Khemisset,14.800901577761081,
25,Iminoulaouen,Ouarzazate,11,Toundoute,0.476,Imi N'Oulaoune,0.846,Azilal,15.214124718256949,
26,Kouacem,Fquih Ben Salah,11,Rouached,0.667,Kouzemt,0.714,Essaouira,15.627347858752817,
27,kabdani,Driouch,11,Dar El Kebdani,0.571,Tabant,0.615,Azilal,16.040570999248686,
28,My Bouchta,Taounate,11,Bni Bouchibet,0.609,Moulay Bouchta,0.833,Moulay Yacoub,16.453794139744552,
29,Yasmine,Sidi Kacem,11,Ain Jemaa,0.5,Lahsinate,0.625,Essaouira,16.86701728024042,
30,Ighilamgone,Tinghir,11,Kalaat M'Gouna,0.48,Ighil N'Oumgoun,0.692,Azilal,17.280240420736288,
31,"A,Chefk",Al Haouz,11,Ahl Tifnoute,0.316,Tancherfi,0.625,Jerada,17.693463561232157,
32,Bani saden,Sefrou,10,Aït Seghrouchen,0.48,Bni Said,0.778,Tétouan,18.069120961682945,
33,Boujediane,Larache,10,Souaken,0.471,Bou Jedyane,0.857,Ouezzane,18.444778362133736,
34,Ourbiaa,Béni Mellal,10,Naour,0.5,Ourika,0.769,Al Haouz,18.820435762584523,
35,Neknafa,Essaouira,10,Meskala,0.571,Tekna,0.667,Sidi Kacem,19.19609316303531,
36,"A,Mediona",Taounate,10,Ain Mediouna,0.762,Médiouna,0.824,Nouaceur,19.571750563486102,
37,Tibihit,Béni Mellal,10,Taghzirt,0.4,Tighirt,0.714,Tiznit,19.94740796393689,
38,lekhmiss,Tinghir,10,Souk Lakhmis Dades,0.538,Khémisset,0.706,Khemisset,20.323065364387677,
39,Kansara,Moulay Yacoub,9,Laajajra,0.533,Mkansa,0.769,Sidi Kacem,20.66115702479339,
40,Ain Doreij,Ouezzane,9,Ain Dfali,0.632,Aïn Orma,0.667,Meknès,20.9992486851991,
41,tassouite,Tinghir,9,Assoul,0.667,Tassousfi,0.778,Tata,21.337340345604808,
42,Tisi ousli,Taza,9,Oued Amlil,0.4,Tizi Ouzli,0.8,Driouch,21.675432006010517,
