rang,Commune,Province,Region_std,n_cas,suggestion_referentiel,score_suggestion,cumsum_pct
1,Afourer,Azilal,Béni Mellal-Khénifra,523,Tamda Noumercid,0.455,7.722976963969285
2,Bab zitouna,Taza,Fès-Meknès,158,Bab Marzouka,0.696,10.05611340815121
3,Ait Attab,Azilal,Béni Mellal-Khénifra,157,Aït Abbas,0.667,12.374483165977555
4,Babzitouna,Taza,Fès-Meknès,148,Bab Marzouka,0.636,14.559952746603662
5,Ouaouizerth,Azilal,Béni Mellal-Khénifra,134,Ouaoula,0.556,16.538688718251624
6,kelaa,Tinghir,Drâa-Tafilalet,108,Kalaat M'Gouna,0.421,18.13349084465446
7,Iminoulaoun,Ouarzazate,Drâa-Tafilalet,107,Siroua,0.471,19.713526284701715
8,Tizgui,Azilal,Béni Mellal-Khénifra,99,Tisqi,0.545,21.175428233904313
9,Sam,Chichaoua,Marrakech-Safi,96,Gmassa,0.444,22.593030124040165
10,Bab Zitouna,Taza,Fès-Meknès,92,Bab Marzouka,0.696,23.95156526875369
11,A.Aicha,Taounate,Fès-Meknès,86,Aïn Aïcha,0.75,25.221500295333726
12,Khmiss Dades,Tinghir,Drâa-Tafilalet,85,Souk Lakhmis Dades,0.733,26.47666863555818
13,Boumalne,Ouarzazate,Drâa-Tafilalet,80,Toundoute,0.471,27.658003544004725
14,Bab tété,Taza,Fès-Meknès,79,Bni Lent,0.375,28.824571766095687
15,Kelaa,Tinghir,Drâa-Tafilalet,74,Kalaat M'Gouna,0.421,29.917306556408743
16,Ait attab,Azilal,Béni Mellal-Khénifra,65,Aït Abbas,0.667,30.877141169521558
17,"S,Fadma",Al Haouz,Marrakech-Safi,56,Sti Fadma,0.75,31.70407560543414
18,Chafarni,Taroudant,Souss-Massa,54,Lakhnafif,0.471,32.50147666863556
19,Khmiss,Tinghir,Drâa-Tafilalet,52,Souk Lakhmis Dades,0.5,33.26934435912581
20,Ain Dorrij,Ouezzane,Tanger-Tétouan-Al Hoceïma,52,Ain Dfali,0.632,34.037212049616066
21,A.Mediouna,Taounate,Fès-Meknès,51,Ain Mediouna,0.818,34.79031305375074
22,Z.Cheikh,Béni Mellal,Béni Mellal-Khénifra,49,Isseksi,0.267,35.51388068517425
23,Hanchen,Essaouira,Marrakech-Safi,49,El Hanchane,0.667,36.23744831659776
24,Tanfarda,Azilal,Béni Mellal-Khénifra,48,Tanant,0.571,36.946249261665685
25,Iminifri,Azilal,Béni Mellal-Khénifra,43,Tifni,0.462,37.5812167749557
26,khmiss dades,Tinghir,Drâa-Tafilalet,41,Souk Lakhmis Dades,0.733,38.18665091553456
27,Lakhmis,Tinghir,Drâa-Tafilalet,39,Souk Lakhmis Dades,0.56,38.76255168340224
28,Z Cheikh,Béni Mellal,Béni Mellal-Khénifra,38,Ouled Yaïch,0.316,39.32368576491435
29,Ait Sedrat Jbel Oulya,Ouarzazate,Drâa-Tafilalet,35,Skoura Ahl El Oust,0.462,39.84051978735972
30,ait hamd,Tinghir,Drâa-Tafilalet,34,Aït Hani,0.75,40.3425871234495
31,Takhsayte,Fquih Ben Salah,Béni Mellal-Khénifra,33,Tachraft,0.588,40.8298877731837
32,Belksiri,Sidi Kacem,Rabat-Salé-Kénitra,33,Bir Taleb,0.353,41.317188422917894
33,mcissi,Tinghir,Drâa-Tafilalet,32,M'Ssici,0.615,41.78972238629652
34,Ain Dorrij,Sidi Kacem,Rabat-Salé-Kénitra,31,Ain Jemaa,0.526,42.24748966331955
35,taguella,Azilal,Béni Mellal-Khénifra,30,Ait Taguella,0.8,42.69049025398701
36,Lakhmis,Ouarzazate,Drâa-Tafilalet,29,Ait Oumdis,0.471,43.118724158298875
37,Sarghine,Tinghir,Drâa-Tafilalet,29,Tinghir,0.4,43.54695806261075
38,Bouzemlan,Taza,Fès-Meknès,29,Bouyablane,0.632,43.97519196692262
39,Taguella,Azilal,Béni Mellal-Khénifra,28,Ait Taguella,0.8,44.38865918487891
40,Kelaa Centre,Tinghir,Drâa-Tafilalet,28,Kalaat M'Gouna,0.462,44.802126402835206
41,Lamzem,El Kelâa des Sraghna,Marrakech-Safi,28,Oulad Amer,0.5,45.215593620791495
42,A.Maatouf,Taounate,Fès-Meknès,27,Ain Maatouf,0.8,45.614294152392205
43,Ait hamd,Tinghir,Drâa-Tafilalet,27,Aït Hani,0.75,46.012994683992915
44,Ouzoud,Azilal,Béni Mellal-Khénifra,26,Ouaoula,0.615,46.39692852923804
45,ait idir,Tinghir,Drâa-Tafilalet,25,Aït Hani,0.625,46.766095688127585
46,Bab Tete,Taza,Fès-Meknès,25,Bni Lent,0.375,47.13526284701713
47,Babtété,Taza,Fès-Meknès,24,Bouyablane,0.471,47.48966331955109
48,Ain Dorij,Ouezzane,Tanger-Tétouan-Al Hoceïma,24,Ain Dfali,0.667,47.84406379208506
49,Ait idir,Tinghir,Drâa-Tafilalet,23,Aït Hani,0.625,48.18369757826344
50,S.Y.B.Z,Taounate,Fès-Meknès,23,Sidi Yahya Bni Zeroual,0.276,48.523331364441816
51,S.A.B.B,Azilal,Béni Mellal-Khénifra,23,Aït Abbas,0.125,48.8629651506202
52,Bourmane,Ouarzazate,Drâa-Tafilalet,23,Toundoute,0.471,49.20259893679858
53,ait tazarine,Tinghir,Drâa-Tafilalet,22,Aït Elfarsi,0.609,49.527466036621384
54,Lbrouj,Settat,Casablanca-Settat,22,Lahouaza,0.429,49.85233313644418
55,,Essaouira,Marrakech-Safi,22,Zaouiat Ben Hmida,0.0,50.177200236266984
56,lakhmiss,Tinghir,Drâa-Tafilalet,22,Souk Lakhmis Dades,0.615,50.50206733608978
57,Hanchène,Essaouira,Marrakech-Safi,22,El Hanchane,0.737,50.826934435912584
58,Ghdira Hamra,Béni Mellal,Béni Mellal-Khénifra,22,Sidi Hammadi,0.583,51.15180153573538
59,Od Ayad,Béni Mellal,Béni Mellal-Khénifra,21,Ouled Yaïch,0.556,51.4619019492026
60,Bouachiba,Azilal,Béni Mellal-Khénifra,20,Ouaoula,0.5,51.75723567631424
61,Tamraght,Agadir-Ida Ou Tanane,Souss-Massa,20,Tadrart,0.667,52.05256940342587
62,S.H.M'ed,Taounate,Fès-Meknès,20,Ras El Oued,0.421,52.34790313053751
63,Ait hammou osaid,Tinghir,Drâa-Tafilalet,20,Ait Ouassif,0.593,52.64323685764914
64,Kelaa,Ouarzazate,Drâa-Tafilalet,20,Afella N'Dra,0.471,52.93857058476078
65,Bouzemlane,Taza,Fès-Meknès,19,Bouyablane,0.7,53.21913762551684
66,Boutaghrar,Tinghir,Drâa-Tafilalet,19,Outerbat,0.444,53.49970466627289
67,Skour,Boulemane,Fès-Meknès,18,Missour,0.667,53.76550502067336
68,Tassouit,Tinghir,Drâa-Tafilalet,18,Assoul,0.714,54.031305375073835
69,Zegotta,Sidi Kacem,Rabat-Salé-Kénitra,18,Zaggota,0.714,54.2971057294743
70,"S,fadma",Al Haouz,Marrakech-Safi,18,Sti Fadma,0.75,54.56290608387478
71,Bab mrouj,Taza,Fès-Meknès,17,Bab Marzouka,0.762,54.81393975191967
72,Chahid Baha,Sefrou,Fès-Meknès,17,Ahl Sidi Lahcen,0.538,55.06497341996456
73,""" """,Taounate,Fès-Meknès,17,M'tioua,0.2,55.31600708800945
74,Ait tazarine,Tinghir,Drâa-Tafilalet,17,Aït Elfarsi,0.609,55.56704075605434
75,Tassouite,Tinghir,Drâa-Tafilalet,17,Assoul,0.667,55.81807442409923
76,Hanchene,Essaouira,Marrakech-Safi,16,El Hanchane,0.737,56.05434140578854
77,Taguela,Azilal,Béni Mellal-Khénifra,16,Ait Taguella,0.737,56.29060838747785
78,Bni Kolla,Sidi Kacem,Rabat-Salé-Kénitra,15,Bir Taleb,0.444,56.51210868281158
79,chafarni,Taroudant,Souss-Massa,15,Lakhnafif,0.471,56.733608978145305
80,sarghine,Tinghir,Drâa-Tafilalet,15,Tinghir,0.4,56.95510927347903
81,Khenichate,Sidi Kacem,Rabat-Salé-Kénitra,15,Khnichet,0.778,57.17660956881276
82,Bani Saden,Sefrou,Fès-Meknès,15,Aït Seghrouchen,0.48,57.398109864146484
83,Tislit,Azilal,Béni Mellal-Khénifra,15,Tisqi,0.727,57.61961015948021
84,Fariata,Béni Mellal,Béni Mellal-Khénifra,14,Had Bradia,0.471,57.82634376845836
85,"S,A,B,B",Azilal,Béni Mellal-Khénifra,14,Aït Abbas,0.125,58.033077377436506
86,My Brahim,Al Haouz,Marrakech-Safi,13,Moulay Brahim,0.818,58.22504430005907
87,Mzem,El Kelâa des Sraghna,Marrakech-Safi,13,Zemrane,0.545,58.41701122268163
88,Foum Anser,Béni Mellal,Béni Mellal-Khénifra,13,Foum El Anceur,0.75,58.60897814530419
89,Timolilte,Azilal,Béni Mellal-Khénifra,13,Imlil,0.714,58.800945067926754
90,Bouzamlane,Taza,Fès-Meknès,13,Bouyablane,0.8,58.992911990549324
91,Beni Sadden,Sefrou,Fès-Meknès,13,Aït Seghrouchen,0.154,59.184878913171886
92,Aderj,Sefrou,Fès-Meknès,12,Ahermoumou,0.4,59.36207914943886
93,boutghrar,Tinghir,Drâa-Tafilalet,12,Outerbat,0.588,59.539279385705846
94,Tdili,Azilal,Béni Mellal-Khénifra,12,Tisqi,0.6,59.71647962197283
95,Iaazazen,Nador,Oriental,12,Iaazzanene,0.778,59.893679858239814
96,Ighilamgone,Tinghir,Drâa-Tafilalet,11,Kalaat M'Gouna,0.48,60.05611340815121
97,"A,Chefk",Al Haouz,Marrakech-Safi,11,Ahl Tifnoute,0.316,60.21854695806261
98,kabdani,Driouch,Oriental,11,Dar El Kebdani,0.571,60.38098050797401
99,Ighil amgone,Tinghir,Drâa-Tafilalet,11,Tinghir,0.421,60.54341405788541
100,bab zitouna,Taza,Fès-Meknès,11,Bab Marzouka,0.696,60.70584760779681
101,Lkhmiss Dades,Tinghir,Drâa-Tafilalet,11,Souk Lakhmis Dades,0.774,60.86828115770821
102,Kouacem,Fquih Ben Salah,Béni Mellal-Khénifra,11,Rouached,0.667,61.03071470761961
103,My Bouchta,Taounate,Fès-Meknès,11,Bni Bouchibet,0.609,61.19314825753101
104,Tirest,Azilal,Béni Mellal-Khénifra,11,Tisqi,0.545,61.35558180744241
105,Iminoulaouen,Ouarzazate,Drâa-Tafilalet,11,Toundoute,0.476,61.51801535735381
106,Yasmine,Sidi Kacem,Rabat-Salé-Kénitra,11,Ain Jemaa,0.5,61.68044890726521
107,Neknafa,Essaouira,Marrakech-Safi,10,Meskala,0.571,61.82811577082103
108,Ourbiaa,Béni Mellal,Béni Mellal-Khénifra,10,Afourar,0.571,61.97578263437685
109,"A,Mediona",Taounate,Fès-Meknès,10,Ain Mediouna,0.762,62.12344949793266
110,lekhmiss,Tinghir,Drâa-Tafilalet,10,Souk Lakhmis Dades,0.538,62.27111636148848
111,Bab Mrouj,Taza,Fès-Meknès,10,Bab Marzouka,0.762,62.4187832250443
112,Khmiss dades,Tinghir,Drâa-Tafilalet,10,Souk Lakhmis Dades,0.733,62.56645008860012
113,Bani saden,Sefrou,Fès-Meknès,10,Aït Seghrouchen,0.48,62.71411695215593
114,Boujediane,Larache,Tanger-Tétouan-Al Hoceïma,10,Souaken,0.471,62.86178381571175
115,Tibihit,Béni Mellal,Béni Mellal-Khénifra,10,Taghzirt,0.4,63.00945067926757
116,tassouite,Tinghir,Drâa-Tafilalet,9,Assoul,0.667,63.14235085646781
117,Bouzmlne,Taza,Fès-Meknès,9,Bouyablane,0.667,63.27525103366804
118,Tisi ousli,Taza,Fès-Meknès,9,Oued Amlil,0.4,63.40815121086828
119,Ait guirte,Azilal,Béni Mellal-Khénifra,9,Ait Taguella,0.636,63.54105138806852
120,afourer,Azilal,Béni Mellal-Khénifra,9,Tamda Noumercid,0.455,63.67395156526875
121,Lakhemis,Tinghir,Drâa-Tafilalet,9,Souk Lakhmis Dades,0.538,63.80685174246899
122,"B,Oulid",Taounate,Fès-Meknès,9,Bni Oulid,0.75,63.93975191966923
123,hanchene,Essaouira,Marrakech-Safi,9,El Hanchane,0.737,64.07265209686946
124,Amsa,Tétouan,Tanger-Tétouan-Al Hoceïma,9,Azla,0.5,64.2055522740697
125,Kansara,Moulay Yacoub,Fès-Meknès,9,Laajajra,0.533,64.33845245126993
126,Ain Doreij,Ouezzane,Tanger-Tétouan-Al Hoceïma,9,Ain Dfali,0.632,64.47135262847017
127,Mesker,Sidi Kacem,Rabat-Salé-Kénitra,9,Sidi Kacem,0.125,64.60425280567041
128,Ain Dfali Centre,Sidi Kacem,Rabat-Salé-Kénitra,8,Sidi Kacem,0.462,64.72238629651507
129,Ait Idir,Tinghir,Drâa-Tafilalet,8,Aït Hani,0.625,64.84051978735971
130,Taouloklot,Chichaoua,Marrakech-Safi,8,Taouloukoult,0.818,64.95865327820437
131,"Od, Naceur",Fquih Ben Salah,Béni Mellal-Khénifra,8,Oulad Nacer,0.762,65.07678676904902
132,Zaouia,Sidi Kacem,Rabat-Salé-Kénitra,8,Zaggota,0.615,65.19492025989368
133,Tizqui,Azilal,Béni Mellal-Khénifra,8,Tisqi,0.727,65.31305375073833
134,S K,Sidi Kacem,Rabat-Salé-Kénitra,8,Sidi Kacem,0.462,65.43118724158299
135,khmiss,Tinghir,Drâa-Tafilalet,8,Souk Lakhmis Dades,0.5,65.54932073242765
136,Afouear,Azilal,Béni Mellal-Khénifra,8,Taounza,0.571,65.6674542232723
137,El Kelaa,El Kelâa des Sraghna,Marrakech-Safi,8,El Aamria,0.588,65.78558771411696
138,Beni hassen,Azilal,Béni Mellal-Khénifra,8,Bni Hassane,0.818,65.90372120496161
139,Daour Jdid,Fquih Ben Salah,Béni Mellal-Khénifra,8,Dar Oulad Zidouh,0.538,66.02185469580625
140,Assg,Tinghir,Drâa-Tafilalet,8,Assoul,0.6,66.13998818665091
141,Ouad Elbour,Chichaoua,Marrakech-Safi,8,Oued L'Bour,0.818,66.25812167749557
142,Targa,Ouarzazate,Drâa-Tafilalet,8,Tarmigt,0.667,66.37625516834022
143,Sahraoua,Sidi Kacem,Rabat-Salé-Kénitra,8,Bab Tiouka,0.444,66.49438865918488
