rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
1,Afourer,Azilal,Béni Mellal-Khénifra,523,Tamda Noumercid,0.455,Afourar,0.857,Béni Mellal,8.121118012422361,
2,Bab zitouna,Taza,Fès-Meknès,158,Bab Marzouka,0.696,Bab Tiouka,0.762,Sidi Kacem,10.574534161490684,
3,Ait Attab,Azilal,Béni Mellal-Khénifra,157,Aït Abbas,0.667,Ait Taleb,0.778,Rehamna,13.012422360248447,
4,Babzitouna,Taza,Fès-Meknès,148,Bab Marzouka,0.636,Bab Tiouka,0.7,Sidi Kacem,15.31055900621118,
5,Ouaouizerth,Azilal,Béni Mellal-Khénifra,134,Ouaoula,0.556,Ouaouizaght,0.727,Béni Mellal,17.391304347826086,
6,kelaa,Tinghir,Drâa-Tafilalet,108,Kalaat M'Gouna,0.421,Melaab,0.727,Errachidia,19.06832298136646,
7,Iminoulaoun,Ouarzazate,Drâa-Tafilalet,107,Siroua,0.471,Imi N'Oulaoune,0.88,Azilal,20.729813664596275,
8,Tizgui,Azilal,Béni Mellal-Khénifra,99,Tisqi,0.545,Touizgui,0.857,Assa-Zag,22.267080745341616,
9,Sam,Chichaoua,Marrakech-Safi,96,Gmassa,0.444,Sgamna,0.667,Khouribga,23.757763975155278,
10,Bab Zitouna,Taza,Fès-Meknès,92,Bab Marzouka,0.696,Bab Tiouka,0.762,Sidi Kacem,25.18633540372671,
11,A.Aicha,Taounate,Fès-Meknès,86,Aïn Aïcha,0.75,Ayacha,0.769,Larache,26.52173913043478,
12,Khmiss Dades,Tinghir,Drâa-Tafilalet,85,Souk Lakhmis Dades,0.733,Souk Lakhmis Dades,0.733,Tinghir,27.841614906832298,
13,Bab tété,Taza,Fès-Meknès,79,Bni Lent,0.375,Bab Berred,0.667,Chefchaouen,29.06832298136646,
14,Kelaa,Tinghir,Drâa-Tafilalet,74,Kalaat M'Gouna,0.421,Melaab,0.727,Errachidia,30.217391304347824,
15,Ait attab,Azilal,Béni Mellal-Khénifra,65,Aït Abbas,0.667,Ait Taleb,0.778,Rehamna,31.226708074534162,
16,"S,Fadma",Al Haouz,Marrakech-Safi,56,Sti Fadma,0.75,Sti Fadma,0.75,Al Haouz,32.09627329192546,
17,Chafarni,Taroudant,Souss-Massa,54,Lakhnafif,0.471,Ifarni,0.714,Driouch,32.93478260869565,
18,Khmiss,Tinghir,Drâa-Tafilalet,52,Souk Lakhmis Dades,0.5,Khémisset,0.8,Khemisset,33.74223602484472,
19,Ain Dorrij,Ouezzane,Tanger-Tétouan-Al Hoceïma,52,Ain Dfali,0.632,Aïn Orma,0.667,Meknès,34.54968944099379,
