rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,CONFIRME_MANQUANT_REFERENTIEL,DECISION_HUMAINE
1,Bab zitouna,Taza,Fès-Meknès,158,Bab Marzouka,0.696,Bab Tiouka,0.762,Sidi Kacem,3.286189683860233,True,
2,Ait Attab,Azilal,Béni Mellal-Khénifra,157,Aït Abbas,0.667,Ait Taleb,0.778,Rehamna,6.5515806988352745,True,
3,Babzitouna,Taza,Fès-Meknès,148,Bab Marzouka,0.636,Bab Tiouka,0.7,Sidi Kacem,9.629783693843594,True,
4,Iminoulaoun,Ouarzazate,Drâa-Tafilalet,107,Siroua,0.471,Imi N'Oulaoune,0.88,Azilal,11.855241264559067,True,
5,Tizgui,Azilal,Béni Mellal-Khénifra,99,Tisqi,0.545,Touizgui,0.857,Assa-Zag,13.914309484193012,True,
6,Sam,Chichaoua,Marrakech-Safi,96,Gmassa,0.444,Sgamna,0.667,Khouribga,15.910981697171382,False,
7,Bab Zitouna,Taza,Fès-Meknès,92,Bab Marzouka,0.696,Bab Tiouka,0.762,Sidi Kacem,17.824459234608984,True,
8,Bab tété,Taza,Fès-Meknès,79,Bni Lent,0.375,Bab Berred,0.667,Chefchaouen,19.467554076539102,True,
9,Ait attab,Azilal,Béni Mellal-Khénifra,65,Aït Abbas,0.667,Ait Taleb,0.778,Rehamna,20.81946755407654,True,
10,Chafarni,Taroudant,Souss-Massa,54,Lakhnafif,0.471,Ifarni,0.714,Driouch,21.942595673876873,True,
11,Ain Dorrij,Ouezzane,Tanger-Tétouan-Al Hoceïma,52,Ain Dfali,0.632,Aïn Orma,0.667,Meknès,23.02412645590682,False,
12,Tanfarda,Azilal,Béni Mellal-Khénifra,48,Tanant,0.571,Tangarfa,0.625,Sidi Ifni,24.022462562396008,False,
13,Iminifri,Azilal,Béni Mellal-Khénifra,43,Tifni,0.462,Sidi Ifni,0.471,Sidi Ifni,24.916805324459233,False,
14,ait hamd,Tinghir,Drâa-Tafilalet,34,Aït Hani,0.75,Ait Hadi,0.875,Chichaoua,25.62396006655574,False,
15,Belksiri,Sidi Kacem,Rabat-Salé-Kénitra,33,Bir Taleb,0.353,Mechra Bel Ksiri,0.667,Sidi Slimane,26.310316139767053,False,
16,Takhsayte,Fquih Ben Salah,Béni Mellal-Khénifra,33,Tachraft,0.588,Takate,0.8,Essaouira,26.996672212978368,False,
17,mcissi,Tinghir,Drâa-Tafilalet,32,M'Ssici,0.615,Tissint,0.615,Tata,27.662229617304494,False,
18,Ain Dorrij,Sidi Kacem,Rabat-Salé-Kénitra,31,Ain Jemaa,0.526,Aïn Orma,0.667,Meknès,28.306988352745424,False,
19,Sarghine,Tinghir,Drâa-Tafilalet,29,Tinghir,0.4,Serghina,0.75,Boulemane,28.91014975041597,False,
20,Bouzemlan,Taza,Fès-Meknès,29,Bouyablane,0.632,Boulemane,0.778,Boulemane,29.513311148086522,False,
21,Lamzem,El Kelâa des Sraghna,Marrakech-Safi,28,Oulad Amer,0.5,Talzemt,0.615,Boulemane,30.09567387687188,False,
22,Ait hamd,Tinghir,Drâa-Tafilalet,27,Aït Hani,0.75,Ait Hadi,0.875,Chichaoua,30.657237936772045,False,
23,Ouzoud,Azilal,Béni Mellal-Khénifra,26,Ouaoula,0.615,Ouzioua,0.769,Al Haouz,31.19800332778702,True,
24,Bab Tete,Taza,Fès-Meknès,25,Bni Lent,0.375,Bab Berred,0.667,Chefchaouen,31.717970049916804,True,
25,ait idir,Tinghir,Drâa-Tafilalet,25,Aït Hani,0.625,Ait Said,0.75,Essaouira,32.23793677204659,False,
26,Ain Dorij,Ouezzane,Tanger-Tétouan-Al Hoceïma,24,Ain Dfali,0.667,Aïn Orma,0.706,Meknès,32.73710482529118,False,
