rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
1,Iminoulaoun,Ouarzazate,107,Siroua,0.471,Imi N'Oulaoune,0.88,Azilal,3.102348506813569,
2,Tizgui,Azilal,99,Tisqi,0.545,Touizgui,0.857,Assa-Zag,5.972745723398086,
3,Iminifri,Azilal,43,Tifni,0.462,Sidi Ifni,0.471,Sidi Ifni,7.219483908379241,
4,ait hamd,Tinghir,34,Aït Hani,0.75,Ait Hadi,0.875,Chichaoua,8.20527689185271,
5,Takhsayte,Fquih Ben Salah,33,Tachraft,0.588,Takate,0.8,Essaouira,9.16207596404755,
6,Sarghine,Tinghir,29,Tinghir,0.4,Serghina,0.75,Boulemane,10.002899391127864,
7,Bouzemlan,Taza,29,Bouyablane,0.632,Boulemane,0.778,Boulemane,10.843722818208176,
8,Lamzem,El Kelâa des Sraghna,28,Oulad Amer,0.5,Talzemt,0.615,Boulemane,11.655552334009858,
9,Ait hamd,Tinghir,27,Aït Hani,0.75,Ait Hadi,0.875,Chichaoua,12.438387938532909,
10,ait idir,Tinghir,25,Aït Hani,0.625,Ait Said,0.75,Essaouira,13.163235720498696,
11,Bourmane,Ouarzazate,23,Toundoute,0.471,Boulemane,0.824,Boulemane,13.83009567990722,
12,Ait idir,Tinghir,23,Aït Hani,0.625,Ait Said,0.75,Essaouira,14.496955639315743,
13,Lbrouj,Settat,22,Lahouaza,0.429,El Borouj,0.8,Khouribga,15.134821687445637,
14,Ghdira Hamra,Béni Mellal,22,Sidi Hammadi,0.583,Al Hamra,0.7,Chefchaouen,15.772687735575529,
15,ait tazarine,Tinghir,22,Aït Elfarsi,0.609,Tazarine,0.8,Taza,16.41055378370542,
16,Bouachiba,Azilal,20,Ouaoula,0.5,Boughriba,0.778,Berkane,16.990432009278052,
17,Bouzemlane,Taza,19,Bouyablane,0.7,Boulemane,0.842,Boulemane,17.54131632357205,
18,Boutaghrar,Tinghir,19,Outerbat,0.444,Boughriba,0.737,Berkane,18.09220063786605,
