rang,Commune_origine,Commune,Province,n_cas,DECISION_HUMAINE,niveau_resolution,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct
1,Taounate,Taounate,Taounate,17,Taounate,province,M'tioua,0.2,N'Kob,0.25,Tinghir,1.225666906993511
2,Tétouan,Tétouan,Tétouan,6,Tétouan,province,Mallalienne,0.435,Mzilate,0.526,Chichaoua,1.658255227108868
3,Sidi Kacem,Sidi Kacem,Sidi Kacem,5,Sidi Kacem,province,Sidi Kacem,0.308,N'Kob,0.5,Tinghir,2.0187454938716654
4,Azilal,Azilal,Azilal,5,Azilal,province,Bin El Ouidane,0.316,Bzou,0.444,El Kelâa des Sraghna,2.379235760634463
5,Azilal,Azilal,Azilal,4,Azilal,province,Moulay Aissa Ben Driss,0.276,Mibladen,0.533,Midelt,2.667627974044701
6,Guercif,Guercif,Guercif,4,Guercif,province,Saka,0.333,Zarkat,0.5,Taounate,2.9560201874549388
7,Chichaoua,Chichaoua,Chichaoua,4,Chichaoua,province,Gmassa,0.615,Assa,0.727,Assa-Zag,3.2444124008651767
8,Al Haouz,Al Haouz,Al Haouz,4,Al Haouz,province,Lalla Takarkoust,0.692,Tamegroute,0.7,Zagora,3.5328046142754146
9,Al Haouz,Al Haouz,Al Haouz,4,Al Haouz,province,Zerkten,0.0,Zrizer,0.0,Taounate,3.821196827685653
10,Taza,Taza,Taza,3,Taza,province,El Gouzate,0.5,M'Garto,0.588,Khouribga,4.037490987743331
11,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,3,Agadir-Ida Ou Tanane,province,Ait Aissi Ihahane,0.333,Tichla,0.615,Aousserd,4.253785147801009
12,Ouarzazate,Ouarzazate,Ouarzazate,3,Ouarzazate,province,Toundoute,0.471,Ikniouen,0.875,Tinghir,4.470079307858688
13,Fquih Ben Salah,Fquih Ben Salah,Fquih Ben Salah,3,Fquih Ben Salah,province,Bejaad,0.5,Msila,0.727,Taza,4.686373467916367
14,Taza,Taza,Taza,3,Taza,province,Barkine,0.667,Bni Yagrine,0.737,Settat,4.902667627974044
15,Fès,Fès,Fès,3,Fès,province,Ain Kansra,0.421,Ain Harrouda,0.571,Médiouna,5.118961788031723
16,Béni Mellal,Béni Mellal,Béni Mellal,3,Béni Mellal,province,Naour,0.5,Zaïtoune,0.667,Tétouan,5.335255948089402
17,Driouch,Driouch,Driouch,3,Driouch,province,Dar El Kebdani,0.667,Dar El Kebdani,0.667,Driouch,5.55155010814708
18,Foum er,Béni Mellal,Béni Mellal,3,Béni Mellal,province,Foum El Anceur,0.667,Foum Jemaa,0.706,El Kelâa des Sraghna,5.767844268204758
19,Laanoucer,Sefrou,Sefrou,3,Sefrou,province,Laanoussar,0.737,Laanoussar,0.737,Sefrou,5.984138428262437
20,Lalla Aicha,Sidi Kacem,Sidi Kacem,3,Sidi Kacem,province,Bab Tiouka,0.19,Laagagcha,0.7,Sidi Bennour,6.200432588320116
21,"M,Bouchta",Taounate,Taounate,3,Taounate,province,Bouhouda,0.588,Bouchfaa,0.706,Taza,6.416726748377794
22,Mansoura,Chefchaouen,Chefchaouen,3,Chefchaouen,province,Bni Mansour,0.737,Mançoura,0.875,Taounate,6.633020908435472
23,ighrmloulne,Tinghir,Tinghir,3,Tinghir,province,Aghbalou N'Kerdous,0.483,Tighedouine,0.636,Al Haouz,6.849315068493151
24,segangan,Nador,Nador,3,Nador,province,Zeghanghane,0.737,Zeghanghane,0.737,Nador,7.065609228550829
25,Mbarek El bakay,Sefrou,Sefrou,3,Sefrou,province,Dar El Hamra,0.593,Dar El Hamra,0.593,Sefrou,7.281903388608508
26,Medina,Al Haouz,Al Haouz,3,Al Haouz,province,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,7.498197548666186
27,Bouargane,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,3,Agadir-Ida Ou Tanane,province,Imsouane,0.588,Ouirgane,0.824,Al Haouz,7.714491708723864
28,ait idr,Tinghir,Tinghir,3,Tinghir,province,Aït Hani,0.667,Ait Said,0.8,Essaouira,7.930785868781543
29,ait s jbel,Tinghir,Tinghir,3,Tinghir,province,Ait Sedrate Jbel El Oulia,0.571,Bni Sidel Jbel,0.667,Nador,8.147080028839222
30,ait slimane,Tinghir,Tinghir,3,Tinghir,province,Aït Hani,0.632,Sidi Slimane,0.783,Sidi Slimane,8.3633741888969
31,berraka,Nador,Nador,3,Nador,province,Hassi Berkane,0.5,Braksa,0.769,Khouribga,8.579668348954579
32,boumalne k,Tinghir,Tinghir,3,Tinghir,province,Boumalne Dadès,0.75,Boumalne Dadès,0.75,Tinghir,8.795962509012258
33,Bouazier,Azilal,Azilal,3,Azilal,province,Bin El Ouidane,0.455,Bouarg,0.714,Nador,9.012256669069934
34,Menara,Tinghir,Tinghir,3,Tinghir,province,Imider,0.5,Mnasra,0.833,Kénitra,9.228550829127611
35,Mesmoda,Ouezzane,Ouezzane,3,Ouezzane,province,Masmouda,0.8,Masmouda,0.8,Ouezzane,9.444844989185292
36,Municipalité,Nador,Nador,3,Nador,province,Beni Chiker,0.435,Mzilate,0.526,Chichaoua,9.66113914924297
37,MunicipalitéBM,Béni Mellal,Béni Mellal,3,Béni Mellal,province,Tilougguite,0.32,Bni Tadjite,0.48,Errachidia,9.877433309300647
38,Bit goulem,Taza,Taza,3,Taza,province,Bni Lent,0.556,Sebt Gzoula,0.667,Safi,10.093727469358328
39,My Idriss,Meknès,Meknès,3,Meknès,province,Moulay Idriss Zarhoun,0.6,Moulay Idriss Zarhoun,0.6,Meknès,10.310021629416006
40,Od Youssef,Settat,Settat,3,Settat,province,Guisser,0.471,Ouled Youssef,0.87,Fquih Ben Salah,10.526315789473683
41,"Ol,DAOUD",Taounate,Taounate,3,Taounate,province,Oulad Daoud,0.737,Oulad Daoud,0.737,Taounate,10.742609949531362
42,Beni Gorfat,Larache,Larache,3,Larache,province,Bni Garfett,0.727,Bni Garfett,0.727,Larache,10.95890410958904
43,Oued Laabid,Azilal,Azilal,3,Azilal,province,Agoudi N'Lkhair,0.538,Oued Naam,0.7,Errachidia,11.17519826964672
44,Ouizghet,Taounate,Taounate,3,Taounate,province,Ourtzagh,0.625,Ouizeght,0.875,Midelt,11.391492429704398
45,Oulad L'Harti,Larache,Larache,3,Larache,province,Oulad Ouchih,0.64,Oulad Chrif,0.75,Taza,11.607786589762076
46,Barraca,Nador,Nador,3,Nador,province,Bouarg,0.462,Brachoua,0.667,Skhirate-Témara,11.824080749819757
47,Tibihite,Béni Mellal,Béni Mellal,3,Béni Mellal,province,Tilougguite,0.526,Tighirt,0.667,Tiznit,12.040374909877434
48,Tighboula,Béni Mellal,Béni Mellal,3,Béni Mellal,province,Timoulilt,0.556,Tigouga,0.75,Taroudant,12.256669069935112
49,Walili,Meknès,Meknès,3,Meknès,province,Oualili,0.769,Talilit,0.769,Driouch,12.472963229992793
50,agouidir,Chichaoua,Chichaoua,3,Chichaoua,province,Ighoud,0.571,Agoudim,0.8,Midelt,12.689257390050468
