classe_altitude_rank,classe_altitude,target,feature,spearman_rho,p_value,significatif_5pct,n
0,Plaine/Cotier,incidence_100k,psi_sd,-0.38746146370735346,2.0133169552481028e-16,True,418
0,Plaine/Cotier,incidence_100k,psi_mean,0.37311566733530543,2.965852063321065e-15,True,418
0,Plaine/Cotier,incidence_100k,latitude,0.3635345580086961,1.662398823795528e-14,True,418
0,Plaine/Cotier,incidence_100k,precip_mm,0.36109575222040785,6.906425166597836e-14,True,404
0,Plaine/Cotier,incidence_100k,aridity_index,0.35622179169299434,1.5674536618192895e-13,True,404
0,Plaine/Cotier,incidence_100k,lai,0.12537546766651825,0.010294914555705756,True,418
0,Plaine/Cotier,incidence_100k,humidite_pct,-0.07509652994155784,0.13184318463395303,False,404
0,Plaine/Cotier,incidence_100k,temp_moy,-0.041016423965558595,0.41095651915914344,False,404
0,Plaine/Cotier,incidence_100k,elevation_m,0.025429147882270776,0.6041602905291499,False,418
0,Plaine/Cotier,total_cas,psi_sd,-0.3811519072550648,6.130422769920959e-17,True,448
0,Plaine/Cotier,total_cas,psi_mean,0.3704791743950411,5.060322743198577e-16,True,448
0,Plaine/Cotier,total_cas,latitude,0.36261863605840716,2.2799608988979955e-15,True,448
0,Plaine/Cotier,total_cas,precip_mm,0.35700153560737763,2.1166889295682253e-14,True,431
0,Plaine/Cotier,total_cas,aridity_index,0.352446912446441,4.735718736598442e-14,True,431
0,Plaine/Cotier,total_cas,lai,0.11993813025762311,0.011063179330491385,True,448
0,Plaine/Cotier,total_cas,humidite_pct,-0.0627450050917422,0.19356034233407352,False,431
0,Plaine/Cotier,total_cas,temp_moy,-0.04069203133531402,0.39940506439197376,False,431
0,Plaine/Cotier,total_cas,elevation_m,0.02160336552699139,0.6483663800571401,False,448
1,Plateau,incidence_100k,psi_sd,-0.29607675679668877,8.08917879808495e-12,True,512
1,Plateau,incidence_100k,aridity_index,0.2905522352186503,2.7886165407089054e-11,True,505
1,Plateau,incidence_100k,precip_mm,0.28936371315282344,3.382875169957907e-11,True,505
1,Plateau,incidence_100k,psi_mean,0.21416249595469275,1.0034532601996557e-06,True,512
1,Plateau,incidence_100k,latitude,0.17789689669255332,5.1692346619285824e-05,True,512
1,Plateau,incidence_100k,lai,0.1733195827074723,8.078403843146735e-05,True,512
1,Plateau,incidence_100k,temp_moy,-0.1656634599909656,0.00018441056411368144,True,505
1,Plateau,incidence_100k,humidite_pct,0.11828366293211784,0.007794260370744028,True,505
1,Plateau,incidence_100k,elevation_m,-0.014358898147708582,0.745841606601837,False,512
1,Plateau,total_cas,psi_sd,-0.28295958221346823,1.5732817201816984e-11,True,547
1,Plateau,total_cas,precip_mm,0.2779577427821766,4.892403864949413e-11,True,540
1,Plateau,total_cas,aridity_index,0.2770813269789924,5.6546436796093645e-11,True,540
1,Plateau,total_cas,psi_mean,0.19840516947020867,2.921572736268995e-06,True,547
1,Plateau,total_cas,lai,0.17731650452982356,3.036777499009839e-05,True,547
1,Plateau,total_cas,latitude,0.1575024977621969,0.0002170016089750564,True,547
1,Plateau,total_cas,temp_moy,-0.13698910204477047,0.0014177237730304808,True,540
1,Plateau,total_cas,humidite_pct,0.08911426032844204,0.0384383256562903,True,540
1,Plateau,total_cas,elevation_m,-0.030291250493970183,0.47957002024859774,False,547
2,Moyenne montagne,incidence_100k,psi_sd,-0.5332438245816824,7.438107236532907e-23,True,292
2,Moyenne montagne,incidence_100k,psi_mean,0.493696675802412,2.398945718797561e-19,True,292
2,Moyenne montagne,incidence_100k,precip_mm,0.4520423585578772,4.119894313464151e-16,True,292
2,Moyenne montagne,incidence_100k,aridity_index,0.45115842670766143,4.773806770949833e-16,True,292
2,Moyenne montagne,incidence_100k,humidite_pct,0.38089345094353394,1.623330315183641e-11,True,292
2,Moyenne montagne,incidence_100k,latitude,0.3210901453452759,1.9934409951195394e-08,True,292
2,Moyenne montagne,incidence_100k,temp_moy,-0.3030057709635822,1.2903989690932075e-07,True,292
2,Moyenne montagne,incidence_100k,lai,0.18426750673158937,0.0015648442632595944,True,292
2,Moyenne montagne,incidence_100k,elevation_m,-0.002858680515468575,0.9612064108956151,False,292
2,Moyenne montagne,total_cas,psi_sd,-0.5319884164937283,7.863419723028174e-24,True,307
2,Moyenne montagne,total_cas,psi_mean,0.4955049841209451,1.9997038489916586e-20,True,307
2,Moyenne montagne,total_cas,precip_mm,0.4433283681744593,3.267017788193976e-16,True,307
2,Moyenne montagne,total_cas,aridity_index,0.44106448469674214,4.798881837024984e-16,True,307
2,Moyenne montagne,total_cas,humidite_pct,0.3923006126848083,9.776490099127402e-13,True,307
2,Moyenne montagne,total_cas,latitude,0.3273647221666248,4.22408912269817e-09,True,307
2,Moyenne montagne,total_cas,temp_moy,-0.2758336429889351,9.161723541435601e-07,True,307
2,Moyenne montagne,total_cas,lai,0.18749677881139465,0.0009629568621959875,True,307
2,Moyenne montagne,total_cas,elevation_m,-0.04635931916090595,0.4182835927467875,False,307
3,Haute montagne,incidence_100k,latitude,-0.1816986100298038,0.010215651416983764,True,199
3,Haute montagne,incidence_100k,psi_mean,-0.0984026014073687,0.16674062314795965,False,199
3,Haute montagne,incidence_100k,psi_sd,0.08805573461845832,0.2161771006291295,False,199
3,Haute montagne,incidence_100k,lai,0.07689997619042142,0.2803322663265862,False,199
3,Haute montagne,incidence_100k,temp_moy,0.058879291692878845,0.40875919322089604,False,199
3,Haute montagne,incidence_100k,humidite_pct,0.057703405028623145,0.41819680109859336,False,199
3,Haute montagne,incidence_100k,elevation_m,-0.024920877280265045,0.7267951436067865,False,199
3,Haute montagne,incidence_100k,aridity_index,-0.012257672237310842,0.8635689040311866,False,199
3,Haute montagne,incidence_100k,precip_mm,0.008608952746551025,0.9039433886196311,False,199
3,Haute montagne,total_cas,latitude,-0.17277413587533516,0.014179144229821515,True,201
3,Haute montagne,total_cas,psi_mean,-0.07751645087667886,0.27405240826592203,False,201
3,Haute montagne,total_cas,temp_moy,0.07166180404529393,0.3120425820552279,False,201
3,Haute montagne,total_cas,lai,0.0699595858750753,0.323705331679803,False,201
3,Haute montagne,total_cas,humidite_pct,0.0669980332148098,0.34465924583401997,False,201
3,Haute montagne,total_cas,psi_sd,0.0626708274340785,0.37678254982550763,False,201
3,Haute montagne,total_cas,elevation_m,-0.05674864641293158,0.42360755342201695,False,201
3,Haute montagne,total_cas,precip_mm,0.02146756788865231,0.7622770504434793,False,201
3,Haute montagne,total_cas,aridity_index,-0.000899852423553086,0.9898846538178885,False,201
