feature,importance_gain,importance_pct,classe_altitude_rank,classe_altitude
cases_roll6,874331.920176506,43.78246749677949,0,Plaine/Cotier
province,415524.1798257828,20.807514260345933,0,Plaine/Cotier
cases_roll3,130688.27648639679,6.544259777591898,0,Plaine/Cotier
longitude,46339.7658700943,2.3204794954829016,0,Plaine/Cotier
latitude,31818.992980480194,1.5933468672479594,0,Plaine/Cotier
aridity_index,29719.874846935272,1.4882328146404808,0,Plaine/Cotier
temp_moy_lag6,29022.279046058655,1.4533004682706896,0,Plaine/Cotier
temp_moy_lag2,28807.504121780396,1.4425455410807526,0,Plaine/Cotier
precip_mm_lag4,26375.639442443848,1.3207690923173079,0,Plaine/Cotier
temp_moy,22930.315628051758,1.1482433335767943,0,Plaine/Cotier
humidite_pct_lag3,22294.163501739502,1.1163878000539522,0,Plaine/Cotier
humidite_pct_lag1,22189.428243160248,1.1111431464519343,0,Plaine/Cotier
elevation_m,21907.39434814453,1.097020203486495,0,Plaine/Cotier
humidite_pct,20011.553124904633,1.0020853111188472,0,Plaine/Cotier
precip_mm_lag6,19446.27463531494,0.9737787989968912,0,Plaine/Cotier
lai,18556.08504962921,0.9292022535204444,0,Plaine/Cotier
precip_mm_lag2,18515.265683174133,0.9271582098983178,0,Plaine/Cotier
precip_mm_lag5,18072.060792922974,0.9049645746734734,0,Plaine/Cotier
humidite_pct_lag5,17979.253317832947,0.900317208875863,0,Plaine/Cotier
precip_mm_lag3,16772.52712726593,0.8398899855333283,0,Plaine/Cotier
precip_mm,16434.068942070007,0.8229415770966697,0,Plaine/Cotier
temp_moy_lag5,16371.474762916565,0.819807152342144,0,Plaine/Cotier
temp_moy_lag4,16294.510040283203,0.8159531177480353,0,Plaine/Cotier
temp_moy_lag1,16283.024202346802,0.8153779605171037,0,Plaine/Cotier
humidite_pct_lag4,16235.004774093628,0.8129733713580072,0,Plaine/Cotier
precip_mm_lag1,15430.905921459198,0.7727078485431046,0,Plaine/Cotier
humidite_pct_lag2,14838.183417320251,0.7430270680829398,0,Plaine/Cotier
humidite_pct_lag6,13908.447943687439,0.6964702488526481,0,Plaine/Cotier
temp_moy_lag3,13709.368968009949,0.6865013016133293,0,Plaine/Cotier
cases_lag12,5769.095795631409,0.2888894289791554,0,Plaine/Cotier
