province,region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Agadir-Ida Ou Tanane,Souss-Massa,2025,1,0.3126642279760198,0.0,0.898583340114078
Agadir-Ida Ou Tanane,Souss-Massa,2025,2,0.30973365438886336,0.0,0.8927192553589111
Agadir-Ida Ou Tanane,Souss-Massa,2025,3,0.31182933026572,0.0,0.8969137337232513
Agadir-Ida Ou Tanane,Souss-Massa,2025,4,0.3225175118927762,0.0,0.9182196451870727
Agadir-Ida Ou Tanane,Souss-Massa,2025,5,0.3175368797049736,0.0,0.9083112972564937
Agadir-Ida Ou Tanane,Souss-Massa,2025,6,0.31485472231046624,0.0,0.9029583652856823
Agadir-Ida Ou Tanane,Souss-Massa,2025,7,0.31977912121335056,0.0,0.9127762747280364
Agadir-Ida Ou Tanane,Souss-Massa,2025,8,0.3151009255663916,0.0,0.9034492850272994
Agadir-Ida Ou Tanane,Souss-Massa,2025,9,0.31504562210613063,0.0,0.9033394780373369
Agadir-Ida Ou Tanane,Souss-Massa,2025,10,0.3179776255479396,0.0,0.9091906341813214
Agadir-Ida Ou Tanane,Souss-Massa,2025,11,0.3111320331705545,0.0,0.8955190298177385
Agadir-Ida Ou Tanane,Souss-Massa,2025,12,0.314007017938879,0.0,0.9012667621533945
Agadir-Ida Ou Tanane,Souss-Massa,2026,1,0.31251115877695407,0.0,0.8982772284702563
Agadir-Ida Ou Tanane,Souss-Massa,2026,2,0.3097393277064651,0.0,0.8927306039062066
Agadir-Ida Ou Tanane,Souss-Massa,2026,3,0.31182818149833785,0.0,0.896911444916656
Agadir-Ida Ou Tanane,Souss-Massa,2026,4,0.3225175118927762,0.0,0.9182196451870727
Agadir-Ida Ou Tanane,Souss-Massa,2026,5,0.3175368797049736,0.0,0.9083112972564937
Agadir-Ida Ou Tanane,Souss-Massa,2026,6,0.3148541060367669,0.0,0.9029571379460629
Agadir-Ida Ou Tanane,Souss-Massa,2026,7,0.31976832838612473,0.0,0.9127547902710622
Agadir-Ida Ou Tanane,Souss-Massa,2026,8,0.3151028614849963,0.0,0.9034531398538836
Agadir-Ida Ou Tanane,Souss-Massa,2026,9,0.3150577526562441,0.0,0.9033637063774567
Agadir-Ida Ou Tanane,Souss-Massa,2026,10,0.3179692766486936,0.0,0.9091739752988286
Agadir-Ida Ou Tanane,Souss-Massa,2026,11,0.3111320331705545,0.0,0.8955190298177385
Agadir-Ida Ou Tanane,Souss-Massa,2026,12,0.31405806055926944,0.0,0.9013686974546564
Agadir-Ida Ou Tanane,Souss-Massa,2027,1,0.31245332681907534,0.0,0.898161743697245
Agadir-Ida Ou Tanane,Souss-Massa,2027,2,0.3097393277064651,0.0,0.8927306039062066
Agadir-Ida Ou Tanane,Souss-Massa,2027,3,0.31183091522937645,0.0,0.8969169024635996
Agadir-Ida Ou Tanane,Souss-Massa,2027,4,0.3225175118927762,0.0,0.9182196451870727
Agadir-Ida Ou Tanane,Souss-Massa,2027,5,0.31753800017634826,0.0,0.9083135238149649
Agadir-Ida Ou Tanane,Souss-Massa,2027,6,0.3148541060367669,0.0,0.9029571379460629
