region,province,n_communes,n_cases,n_years_covered,years,status
Casablanca-Settat,Benslimane,14,0,0,[],MANQUANT_gap
Casablanca-Settat,Berrechid,13,0,0,[],MANQUANT_gap
Casablanca-Settat,Casablanca,7,0,0,[],MANQUANT_gap
Casablanca-Settat,El Jadida,16,0,0,[],MANQUANT_gap
Casablanca-Settat,Mohammedia,7,0,0,[],MANQUANT_gap
Casablanca-Settat,Médiouna,1,0,0,[],MANQUANT_gap
Casablanca-Settat,Nouaceur,14,0,0,[],MANQUANT_gap
Casablanca-Settat,Sidi Bennour,28,0,0,[],MANQUANT_gap
Dakhla-Oued Ed-Dahab,Aousserd,7,0,0,[],MANQUANT_gap
Dakhla-Oued Ed-Dahab,Oued Ed-Dahab,5,0,0,[],MANQUANT_gap
Fès-Meknès,Guigou,3,0,0,[],MANQUANT_gap
Guelmim-Oued Noun,Assa-Zag,12,0,0,[],MANQUANT_gap
Guelmim-Oued Noun,Tan-Tan,9,0,0,[],MANQUANT_gap
Laâyoune-Sakia El Hamra,Boujdour,4,0,0,[],MANQUANT_gap
Laâyoune-Sakia El Hamra,Es-Semara,6,0,0,[],MANQUANT_gap
Laâyoune-Sakia El Hamra,Laâyoune,5,0,0,[],MANQUANT_gap
Laâyoune-Sakia El Hamra,Tarfaya,3,0,0,[],MANQUANT_gap
Oriental,Figuig,6,0,0,[],MANQUANT_gap
Oriental,Jerada,18,0,0,[],MANQUANT_gap
Oriental,Oujda-Angad,10,0,0,[],MANQUANT_gap
Rabat-Salé-Kénitra,Rabat,2,0,0,[],MANQUANT_gap
Rabat-Salé-Kénitra,Skhirate-Témara,14,0,0,[],MANQUANT_gap
Béni Mellal-Khénifra,Azilal,30,4824,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Béni Mellal-Khénifra,Béni Mellal,32,1031,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Béni Mellal-Khénifra,Fquih Ben Salah,23,789,10,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Béni Mellal-Khénifra,Khouribga,37,2,1,[2018],avec_donnees
Béni Mellal-Khénifra,Khénifra,29,11,5,"[2009, 2010, 2011, 2012, 2016]",avec_donnees
Casablanca-Settat,Settat,30,323,11,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",avec_donnees
Drâa-Tafilalet,Errachidia,32,29,2,"[2010, 2020]",avec_donnees
Drâa-Tafilalet,Midelt,18,2,2,"[2012, 2017]",avec_donnees
Drâa-Tafilalet,Ouarzazate,23,965,8,"[2010, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Drâa-Tafilalet,Tinghir,31,2791,10,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Drâa-Tafilalet,Zagora,21,3,2,"[2019, 2020]",avec_donnees
Fès-Meknès,Boulemane,17,274,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Fès-Meknès,El Hajeb,10,18,7,"[2009, 2012, 2013, 2014, 2015, 2017, 2018]",avec_donnees
Fès-Meknès,Fès,12,52,10,"[2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2019, 2020]",avec_donnees
Fès-Meknès,Ifrane,8,3,1,[2017],avec_donnees
Fès-Meknès,Meknès,20,111,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Fès-Meknès,Moulay Yacoub,19,325,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Fès-Meknès,Sefrou,21,848,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Fès-Meknès,Taounate,59,1427,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Fès-Meknès,Taza,36,1613,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Guelmim-Oued Noun,Guelmim,17,15,7,"[2009, 2010, 2011, 2012, 2014, 2016, 2019]",avec_donnees
Guelmim-Oued Noun,Sidi Ifni,9,1,1,[2019],avec_donnees
Marrakech-Safi,Al Haouz,42,714,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Marrakech-Safi,Chichaoua,41,5080,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Marrakech-Safi,El Kelâa des Sraghna,59,223,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
