mun_raw,pop_total,pop_total_male,pop_total_female,pop_under_15,pop_under_15_male,pop_under_15_female,pop_15_59,pop_15_59_male,pop_15_59_female,pop_60,pop_60_male,pop_60_female
Agdal,126463.0,60543.0,65920.0,17.6,19.0,16.3,58.7,57.0,60.2,23.7,23.9,23.5
Agdal Riyad,67255.0,31567.0,35688.0,15.9,17.6,14.4,58.2,56.2,60.0,25.9,26.2,25.7
Aghouinite-N/A,1006.0,,,,,,,,,,,
Ain Lahsan,7450.0,3767.0,3683.0,28.9,28.5,29.4,58.4,58.6,58.1,12.7,12.9,12.5
Aïn-Chock,374579.0,184704.0,189875.0,21.2,22.3,20.2,62.3,61.7,63.0,16.4,16.1,16.8
Aïn-Sebaâ,143697.0,70042.0,73655.0,21.1,22.4,19.8,61.9,61.2,62.5,17.0,16.4,17.6
Ajdir,8638.0,4251.0,4387.0,25.4,26.2,24.5,59.7,59.2,60.2,17.3,16.4,18.2
Ajdir,5608.0,2791.0,2817.0,23.0,24.3,21.6,58.0,58.8,57.3,16.6,15.0,18.1
Al-Fida,125777.0,62530.0,63247.0,16.8,17.7,16.0,61.0,63.0,59.1,22.2,19.3,25.0
Almajjatia Oulad Taleb,95449.0,48198.0,47251.0,31.4,32.3,30.5,60.2,59.6,60.7,8.5,8.1,8.8
Anfa,66026.0,31201.0,34825.0,16.4,18.0,15.1,58.7,58.6,58.9,24.8,23.4,26.1
Annakhil,71468.0,35569.0,35899.0,26.2,26.9,25.5,61.1,60.4,61.8,12.7,12.7,12.7
Anzi,6089.0,2855.0,3234.0,21.5,22.7,20.5,53.2,51.6,54.5,25.3,25.7,25.0
Arfoud,28876.0,14509.0,14367.0,29.5,30.2,28.8,59.7,58.2,61.2,10.8,11.7,10.0
Asoukhour Assawda,104694.0,50677.0,54017.0,18.0,19.1,16.9,61.0,60.4,61.6,21.0,20.5,21.5
Azlaf,4002.0,1929.0,2073.0,26.1,29.5,23.0,55.0,53.6,56.2,18.9,16.9,20.8
Bab Lamrissa,167279.0,81661.0,85618.0,20.4,21.5,19.4,61.9,61.0,62.7,17.7,17.5,17.9
Ben-M'sick,105549.0,51281.0,54268.0,18.9,19.9,18.0,61.0,62.1,60.0,20.1,18.0,22.0
Bettana,75470.0,36789.0,38681.0,19.1,20.0,18.2,60.9,60.9,61.0,19.9,19.0,20.8
Bitit,15238.0,7708.0,7530.0,28.5,28.9,28.1,58.9,58.8,59.0,12.6,12.3,12.9
Bni Makada,567326.0,288751.0,278575.0,28.2,28.7,27.8,63.7,63.3,64.2,8.1,8.1,8.1
Boufakrane,16890.0,8311.0,8579.0,27.1,28.0,26.3,60.2,58.3,62.0,12.7,13.6,11.7
Bradia,37006.0,17186.0,19820.0,28.3,31.2,25.7,55.3,52.2,57.9,16.5,16.6,16.3
Bsara,1335.0,680.0,655.0,30.3,30.4,30.1,54.6,53.7,55.6,15.1,15.9,14.4
Charrate,11262.0,5842.0,5420.0,27.7,28.3,27.1,59.3,58.5,60.2,13.0,13.2,12.7
Dar Bni Karrich,10115.0,5075.0,5040.0,28.5,27.8,29.1,60.0,59.9,60.1,11.5,12.2,10.8
Derdara,11276.0,5886.0,5390.0,29.3,28.8,29.8,59.2,60.0,58.3,11.5,11.1,11.9
Ech-challalate,98011.0,49671.0,48340.0,30.7,31.3,30.0,60.6,60.1,61.1,8.7,8.6,8.9
El Aioun Sidi Mellouk,40648.0,19589.0,21059.0,25.1,26.7,23.6,58.1,57.4,58.7,16.8,15.8,17.7
El Ganzra,13785.0,6830.0,6955.0,30.7,31.3,30.2,56.0,56.3,55.6,13.3,12.4,14.1
El Mariniyine,206387.0,101476.0,104911.0,24.6,25.8,23.5,60.5,59.7,61.3,14.9,14.5,15.2
El Youssoufia,157460.0,76720.0,80740.0,19.6,20.8,18.4,62.9,63.1,62.7,17.5,16.1,18.8
Es-Semara,54190.0,27459.0,26731.0,28.1,28.3,28.0,63.0,62.6,63.5,8.9,9.2,8.5
Et-Taous,9001.0,4669.0,4332.0,31.5,31.5,31.5,59.3,59.9,58.7,9.2,8.6,9.8
Fès-Médina,49167.0,24656.0,24511.0,20.8,21.4,20.2,60.3,60.5,60.1,18.9,18.2,19.7
Fquih Ben Salah,97215.0,46197.0,51018.0,25.6,27.9,23.5,58.3,56.6,59.9,16.1,15.5,16.6
Gafait,2602.0,1271.0,1331.0,24.3,25.6,22.9,57.3,55.2,59.2,18.5,19.1,17.9
Gueliz,217156.0,103464.0,113692.0,20.0,21.7,18.4,63.2,61.4,64.8,16.9,16.9,16.8
Hassan,91696.0,43438.0,48258.0,13.7,14.9,12.6,60.0,60.8,59.3,26.3,24.3,28.1
Hay-Hassani,536887.0,264032.0,272855.0,22.4,23.5,21.4,63.7,63.0,64.3,13.9,13.5,14.3
Hay-Mohammadi,104137.0,50785.0,53352.0,17.8,19.1,16.5,60.7,61.5,59.9,21.5,19.3,23.7
Hssaine,232909.0,116005.0,116904.0,23.3,24.1,22.6,63.7,62.2,65.2,13.0,13.8,12.2
Iferni,4873.0,2298.0,2575.0,25.5,27.8,23.5,53.0,51.9,53.9,21.5,20.3,22.6
Irhzrane,8498.0,4056.0,4442.0,22.7,24.1,21.4,55.7,55.8,55.7,21.6,20.1,22.9
