classe_altitude_rank,classe_altitude,mois,temp_moy,precip_mm,emergence_vecteur,mortalite_vecteur_mu_V,duree_incubation_extrinseque_jours,capacite_vectorielle_proxy
0,Plaine/Cotier,1,12.025238265215064,59.33750490808495,0.14787886,0.10157999,179.6365,1.4557873
0,Plaine/Cotier,2,12.813182223808672,53.38354096019989,0.14737807,0.10110004,180.93059,1.457745
0,Plaine/Cotier,3,14.862834195966448,57.68713546314475,0.14546862,0.100058444,184.0083,1.4538366
0,Plaine/Cotier,4,16.88188470462252,42.607030162413,0.14398295,0.09925656,186.62222,1.4506139
0,Plaine/Cotier,5,20.06067642334464,22.248409780474745,0.1428082,0.09831738,189.90741,1.4525225
0,Plaine/Cotier,6,22.456890951276105,6.228482955559522,0.14074515,0.09780082,191.77812,1.4390999
0,Plaine/Cotier,7,25.05320542566482,1.4484329823308941,0.14046764,0.097376004,193.3198,1.4425284
0,Plaine/Cotier,8,25.802768159914333,3.061699089773336,0.14015175,0.09727427,193.68573,1.4407895
0,Plaine/Cotier,9,23.30444404783152,18.822598607888633,0.14124498,0.09764859,192.33192,1.446462
0,Plaine/Cotier,10,20.767160449759057,41.24041941816884,0.14157604,0.09815054,190.50893,1.4424378
0,Plaine/Cotier,11,16.030947706585756,69.34592539710869,0.14422192,0.0995715,185.57169,1.4484257
0,Plaine/Cotier,12,13.468415134749241,47.72902730679993,0.14718135,0.10073741,181.9601,1.4610397
1,Plateau,1,10.07824358974359,54.94402421652421,0.15063515,0.10303348,176.1597,1.4620019
1,Plateau,2,11.155975783475784,50.69998148148148,0.1493632,0.10217512,178.13629,1.4618354
1,Plateau,3,13.441522792022793,61.10791595441596,0.14641921,0.10075169,181.91864,1.453268
1,Plateau,4,15.846958689458688,46.23660541310541,0.14536153,0.099643834,185.33475,1.458811
1,Plateau,5,19.504991452991455,29.329341880341882,0.14271349,0.09845822,189.40288,1.4494827
1,Plateau,6,22.472679487179487,9.329561253561254,0.141959,0.09779786,191.78894,1.4515553
1,Plateau,7,26.359767806267808,4.551531339031339,0.13989064,0.09720391,193.93753,1.4391463
1,Plateau,8,26.77043162393162,9.98304131054131,0.14028585,0.097154714,194.11278,1.4439428
1,Plateau,9,22.857420227920226,24.3538547008547,0.14153592,0.0977271,192.04633,1.4482771
1,Plateau,10,19.719579772079772,38.353817663817665,0.14200495,0.098402806,189.60106,1.4430987
1,Plateau,11,14.242039886039885,63.278719373219374,0.14567037,0.100346364,183.12064,1.4516757
1,Plateau,12,11.588071225071225,40.158994301994305,0.14970934,0.10186986,178.89178,1.4696138
2,Moyenne montagne,1,8.943365071410675,36.08944625407167,0.15401688,0.10413608,173.89705,1.4789964
2,Moyenne montagne,2,10.425098972688549,38.143081934352296,0.1513863,0.102740355,176.81143,1.4734844
2,Moyenne montagne,3,13.105657729892258,45.62326735154097,0.14767207,0.10093435,181.39536,1.4630507
2,Moyenne montagne,4,16.375645201703833,33.492959158105734,0.1441204,0.099440165,186.00621,1.4493177
2,Moyenne montagne,5,20.386361814081685,25.292555750438485,0.14247103,0.09823884,190.19014,1.4502516
2,Moyenne montagne,6,23.936720120270607,10.895479829616638,0.14141521,0.09754391,192.71205,1.4497595
2,Moyenne montagne,7,28.5679904785768,6.122538210974693,0.139118,0.09696356,194.78587,1.4347452
2,Moyenne montagne,8,28.271939363568027,13.293623152092207,0.14002956,0.09699252,194.68483,1.4437151
2,Moyenne montagne,9,23.464119268353798,25.046539714357305,0.14127168,0.09762145,192.4305,1.4471377
2,Moyenne montagne,10,19.351628664495117,31.27333249812077,0.142675,0.09849866,189.25867,1.4484968
2,Moyenne montagne,11,13.34106740165372,48.75478576797795,0.14720424,0.10080551,181.76329,1.4602796
2,Moyenne montagne,12,10.225306940616386,27.36274116762716,0.15156357,0.10290707,176.43796,1.4728198
3,Haute montagne,1,5.539816303099886,39.84582089552239,0.16375366,0.110376514,164.0415,1.4835916
3,Haute montagne,2,6.839357060849599,40.98552621507845,0.15872191,0.1071611,168.7368,1.4811523
3,Haute montagne,3,9.59622273249139,56.70994259471871,0.15131563,0.103472225,175.22563,1.4623792
3,Haute montagne,4,13.202870264064293,43.78541905855339,0.14775391,0.10088068,181.54796,1.4646403
3,Haute montagne,5,17.169429774205895,39.97152698048221,0.1446705,0.09915695,186.96046,1.4590051
3,Haute montagne,6,21.01803291236127,18.76244929200153,0.14182697,0.09809436,190.71213,1.4458219
3,Haute montagne,7,25.343015690776888,12.926130884041333,0.14089361,0.09733568,193.46507,1.4475021
3,Haute montagne,8,24.76225794106391,23.22014159969384,0.14045435,0.09741778,193.16887,1.4417733
3,Haute montagne,9,20.130662074244164,39.29066207424416,0.14180346,0.09830028,189.96896,1.442554
3,Haute montagne,10,15.998300803673937,34.468197474167624,0.14489578,0.09958422,185.52988,1.4550073
3,Haute montagne,11,9.91078453884424,51.36564102564103,0.15110232,0.10318152,175.8392,1.464432
3,Haute montagne,12,7.08502487562189,24.676406429391502,0.15989196,0.10670596,169.44708,1.4984351
