province,total_cas,n_obs,pop_mean,temp_moy,precip_mm,humidite_pct,aridity_index,elevation_m,lai,n_communes,pop_total_prov,incidence_100k_an,zone_label,statut_vecteur
Agadir-Ida Ou Tanane,124.0,2304,,19.114513888888887,27.750597222222222,53.83550925925926,6.362983610112797,517.29375,4.992625,16,618174.0,1.6715897681451068,Plaine/Plateau,non_documente
Al Haouz,578.0,6048,,14.38211970899471,36.600042989417986,49.56274801587302,9.146266590129507,1515.0238095238096,5.990404761904762,42,522645.0,9.215943262954141,Montagne/Atlas,confirme
Al Hoceïma,152.0,4320,,16.037872685185185,39.55708333333333,67.60101851851853,9.640870167232917,614.08,4.015366666666666,30,277568.0,4.5634463146568285,Plaine/Plateau,indice_indirect
Aousserd,0.0,1008,,25.365694444444443,3.4085218253968255,29.08234126984127,0.6832991046636049,284.75714285714287,0.0,7,459.0,0.0,Aride/Saharien,non_documente
Assa-Zag,1.0,1728,,21.88669560185185,5.638229166666667,35.65260416666666,1.20669412082691,579.4083333333333,0.2625,12,48443.0,0.17202347776424526,Aride/Saharien,non_documente
Azilal,1443.0,4320,,13.851347222222222,51.11517361111111,53.69543981481481,12.982275083534457,1457.0700000000002,5.369833333333333,30,437551.0,27.482510610191728,Montagne/Atlas,confirme
Benslimane,0.0,2016,,17.941785714285714,33.14744047619048,68.14320436507937,7.7444688810185935,299.62142857142857,4.819071428571428,14,233742.0,0.0,Plaine/Plateau,non_documente
Berkane,87.0,3024,,17.2843932748538,30.713391812865495,64.98029970760234,7.198851749852689,307.62857142857143,5.997809523809524,21,279545.0,2.5935001520327674,Plaine/Plateau,non_documente
Berrechid,2.0,1872,,18.153167735042736,29.717339743589744,67.09738247863248,6.906156537633511,292.70769230769235,3.802692307692308,13,303608.0,0.05489534750950788,Plaine/Plateau,non_documente
Boujdour,0.0,576,,21.67076388888889,3.5829340277777777,47.88402777777778,0.7382767971564467,171.7,1.41225,4,58090.0,0.0,Aride/Saharien,non_documente
Boulemane,11.0,2448,,13.674252450980392,37.4190522875817,51.14391339869281,9.607864494943822,1498.464705882353,5.111588235294118,17,122056.0,0.7510213890891613,Montagne/Atlas,confirme
Béni Mellal,877.0,4608,,16.065755208333332,47.01302517361111,52.12658420138889,11.407357846631093,1105.040625,5.3715,32,604194.0,12.096004484210921,Montagne/Atlas,non_documente
Casablanca,0.0,1008,,18.146194444444443,29.822625000000002,71.65722222222222,6.929755032243933,126.10000000000001,6.115,7,522364.0,0.0,Plaine/Plateau,non_documente
