province,classe_altitude,classe_altitude_rank,elevation_m,temp_moy_an,precip_totale_an,total_cas,statut_vecteur,zone_bioclim
Médiouna,Plaine/Cotier,0,30.5,18.30871794871795,360.99615384615385,0,non_documente,0
Tarfaya,Plaine/Cotier,0,38.73333333333333,20.34034188034188,58.26948717948719,0,non_documente,0
Sidi Slimane,Plaine/Cotier,0,63.98571428571429,18.925924908424907,514.4778021978022,18,non_documente,0
M'diq-Fnideq,Plaine/Cotier,0,74.075,17.716474358974356,597.5928205128205,6,non_documente,0
Kénitra,Plaine/Cotier,0,83.79375,18.377871794871798,513.5407692307692,10,non_documente,0
Larache,Plaine/Cotier,0,84.37083333333334,18.019821047008545,757.5130448717949,195,indice_indirect,0
Laâyoune,Plaine/Cotier,0,87.53999999999999,20.650865384615383,49.714615384615385,0,non_documente,0
El Jadida,Plaine/Cotier,0,94.6125,18.40429487179487,336.1510576923077,0,non_documente,0
Tanger-Assilah,Plaine/Cotier,0,98.49166666666666,17.647333333333332,720.339,8,non_documente,0
Rabat,Plaine/Cotier,0,113.9,18.32198717948718,450.5176923076923,0,non_documente,0
Casablanca,Plaine/Cotier,0,126.1,18.133717948717948,354.3424615384616,0,non_documente,0
Nouaceur,Plaine/Cotier,0,129.6,18.14179980276134,363.7915976331361,0,non_documente,0
Salé,Plaine/Cotier,0,130.525,18.21480769230769,455.4532692307693,2,non_documente,0
Mohammedia,Plaine/Cotier,0,130.8857142857143,18.159496336996337,402.0890109890109,0,non_documente,0
Fahs-Anjra,Plaine/Cotier,0,140.1142857142857,17.260641025641025,622.7653846153846,8,non_documente,0
Safi,Plaine/Cotier,0,160.88695652173914,18.409113712374584,282.72545150501674,4,non_documente,0
Nador,Plaine/Cotier,0,161.35000000000002,18.131205128205128,335.99179487179487,229,indice_indirect,0
Tan-Tan,Plaine/Cotier,0,166.88888888888889,19.515420227920227,93.91,0,non_documente,0
Boujdour,Plaine/Cotier,0,171.7,21.66865384615385,40.39942307692308,0,non_documente,2
Sidi Bennour,Plaine/Cotier,0,174.28214285714284,18.43856684981685,288.24005494505496,0,non_documente,0
Sidi Kacem,Plaine/Cotier,0,201.33571428571423,19.03224358974359,543.9776923076923,1121,indice_indirect,0
Skhirate-Témara,Plaine/Cotier,0,215.4,17.971423992673994,428.3763736263736,0,non_documente,0
Inezgane-Aït Melloul,Plaine/Cotier,0,218.12777777777777,20.182183257918552,268.95153846153846,12,non_documente,0
Ouezzane,Plaine/Cotier,0,229.5774193548387,18.13512613730356,795.1698263027295,736,indice_indirect,0
Tétouan,Plaine/Cotier,0,257.8333333333333,16.892217194570136,728.7384615384616,81,confirme,0
Aousserd,Plaine/Cotier,0,284.75714285714287,25.39170329670329,39.73241758241759,0,non_documente,2
Berrechid,Plaine/Cotier,0,292.7076923076923,18.13710059171597,353.16934911242606,0,non_documente,0
Benslimane,Plaine/Cotier,0,299.62142857142857,17.926556776556776,394.3363186813187,0,non_documente,0
Es-Semara,Plaine/Cotier,0,299.8333333333333,21.41752136752137,52.67730769230769,0,non_documente,2
Oued Ed-Dahab,Plaine/Cotier,0,305.86,24.547,42.03738461538462,0,non_documente,2
