province,region,n_communes_x,lct_cases,evidence_type,psi_mean,psi_sd,psi_q05,psi_q50,psi_q95,cas_estimes_2020,n_communes_y
Guigou,Fès-Meknès,3,0,no_data_gap,0.9700402889856272,0.0709722540144173,0.8697589021986678,0.992653994103446,0.999835956302261,0.15750110595447914,3
Oujda-Angad,Oriental,10,0,no_data_gap,0.9647150124861944,0.0738143025641425,0.8655153920578854,0.9873089165970532,0.9991512956057312,0.07471551577480952,10
Skhirate-Témara,Rabat-Salé-Kénitra,14,0,no_data_gap,0.9542867243859277,0.0749181203472298,0.8384447442686818,0.9771683157807852,0.9979261126569002,1.7617413717186192,14
Rabat,Rabat-Salé-Kénitra,2,0,no_data_gap,0.9530331623418684,0.0829577078965856,0.8291697637931659,0.978242953431454,0.9980390293755178,0.627402449573008,2
Mohammedia,Casablanca-Settat,7,0,no_data_gap,0.9451870605883228,0.0915240038847951,0.8147186593179659,0.9730207095458916,0.9971599423606914,0.1521347063484494,7
Jerada,Oriental,18,0,no_data_gap,0.944460322396934,0.0986538503621379,0.7741650571503301,0.9776762174455652,0.9985710447768388,0.06523025503560316,18
Benslimane,Casablanca-Settat,14,0,no_data_gap,0.9438202204225232,0.0926712332106713,0.8079195963208875,0.9719038315584404,0.9969507292207224,0.14115750035531105,14
Khouribga,Béni Mellal-Khénifra,37,0,no_data_gap,0.9411431284024492,0.0881103832297825,0.8073121316627753,0.9666297062227004,0.9968269604664218,5.139943433522752,37
Casablanca,Casablanca-Settat,7,0,no_data_gap,0.936789336436606,0.0989277952277332,0.7845166353506987,0.9669985465341258,0.9966289163622164,0.20135832628770042,7
Médiouna,Casablanca-Settat,1,0,no_data_gap,0.9367008366623666,0.1012313981860645,0.7827446792761212,0.9680229813622524,0.9966364125985896,0.17925360983715333,1
Nouaceur,Casablanca-Settat,14,0,no_data_gap,0.93642780858852,0.0960300578924194,0.7656557468680698,0.967583093975924,0.996428548233809,1.9086976760478078,14
Berrechid,Casablanca-Settat,13,0,no_data_gap,0.9298180580285016,0.1034326698335929,0.7455532501413155,0.9633535116284594,0.9959063422848694,1.402602627793971,13
El Jadida,Casablanca-Settat,16,0,no_data_gap,0.9265317426934528,0.1038518641429888,0.7584135081412356,0.958736823701296,0.995474652844942,4.183194229228768,16
Sidi Bennour,Casablanca-Settat,28,0,no_data_gap,0.9096203161015874,0.1100012301401707,0.7016879864527774,0.9454737268577726,0.992348276397897,0.11973552393387925,28
Figuig,Oriental,6,0,no_data_gap,0.8306498086100479,0.1759043397902688,0.4495645578763584,0.89250056532525,0.9884844093344446,0.06617032064050886,6
Sidi Ifni,Guelmim-Oued Noun,9,0,no_data_gap,0.7713058863881471,0.1777833258665476,0.4093302024277229,0.8138587078255778,0.9783492581178664,0.8717921286463614,9
Tan-Tan,Guelmim-Oued Noun,9,0,no_data_gap,0.601634662912818,0.2314870759804925,0.1835221516684423,0.6209033655522125,0.9528326867553594,0.09769198309353806,9
Assa-Zag,Guelmim-Oued Noun,12,0,no_data_gap,0.515075528934862,0.2500954703477532,0.1179228604344094,0.5034362010821274,0.930111033943868,0.8173476553995265,12
Tarfaya,Laâyoune-Sakia El Hamra,3,0,no_data_gap,0.5123005899507259,0.2446714572213463,0.1172360992597546,0.5048783352754214,0.9293357407666883,0.05436525124382259,3
