province,temp_moy_an,temp_max,temp_min,precip_totale_an,amplitude_thermique,humidite_moy_an,elevation_m,zone_bioclim,total_cas,statut_vecteur,latitude,longitude
Agadir-Ida Ou Tanane,19.122286324786327,20.11294871794872,17.302884615384617,331.1413846153846,2.8100641025641018,53.78239316239316,517.29375,0,208,non_documente,30.738962875,-9.5611336875
Al Haouz,14.416253052503052,18.64307692307693,8.808782051282051,430.1911172161172,9.834294871794878,49.34575702075703,1515.0238095238096,1,712,confirme,31.12268092857143,-7.98555719047619
Al Hoceïma,16.054961538461537,17.901923076923076,13.936858974358977,472.08938461538463,3.9650641025640994,67.58893162393163,614.08,0,171,indice_indirect,35.0460845,-3.9908379666666667
Aousserd,25.391703296703295,27.067884615384617,23.196923076923078,39.73241758241759,3.8709615384615397,28.9246336996337,284.75714285714287,2,0,non_documente,22.856048428571427,-13.898051714285714
Assa-Zag,21.901816239316236,24.199679487179488,20.07448717948718,65.68788461538462,4.125192307692309,35.5730235042735,579.4083333333333,2,0,non_documente,28.488011166666666,-9.307605916666667
Azilal,13.894692307692308,18.71583333333333,7.999038461538461,604.2851025641025,10.716794871794868,53.37831196581197,1457.07,1,4649,confirme,31.860026766666667,-6.673951400000001
Benslimane,17.926556776556776,18.29147435897436,17.33474358974359,394.3363186813187,0.95673076923077,68.32326007326007,299.62142857142857,0,0,non_documente,33.49616714285714,-7.085263214285715
Berkane,17.31422064777328,18.510897435897437,16.22224358974359,361.97963562753034,2.2886538461538457,64.83174763832658,307.62857142857143,0,11,non_documente,34.90061938095238,-2.366517380952381
Berrechid,18.137100591715974,18.28038461538461,17.904999999999998,353.16934911242606,0.3753846153846112,67.28954635108482,292.7076923076923,0,0,non_documente,33.24048592307692,-7.476127076923077
Boujdour,21.66865384615385,22.699807692307694,21.033589743589744,40.39942307692308,1.66621794871795,47.79903846153846,171.7,2,0,non_documente,25.684099749999998,-13.7793865
Boulemane,13.72973604826546,18.044423076923074,10.988333333333332,441.1419457013575,7.056089743589743,50.8617269984917,1498.464705882353,1,263,confirme,33.36334447058824,-4.324019235294117
Béni Mellal,16.11178485576923,20.293653846153845,8.11897435897436,553.7383173076923,12.174679487179485,51.820853365384615,1105.040625,1,1014,non_documente,32.394486875,-6.23525859375
Casablanca,18.133717948717948,18.34788461538461,17.980320512820512,354.3424615384616,0.3675641025640992,71.81333333333333,126.10000000000001,0,0,non_documente,33.53521971428571,-7.565968714285715
Chefchaouen,16.20400183150183,17.986858974358974,14.703397435897436,879.3071703296703,3.2834615384615375,70.7407967032967,634.1766666666666,0,56,confirme,35.112900233333335,-5.141789966666667
Chichaoua,17.131819887429643,19.950961538461534,11.054807692307692,322.7482363977486,8.896153846153842,54.988789868667915,773.2926829268292,1,4695,confirme,31.38902631707317,-8.87450587804878
Chtouka-Aït Baha,18.157455322455323,20.49346153846154,16.209038461538462,268.3812121212121,4.284423076923076,47.96367521367522,864.290909090909,1,51,non_documente,29.902320151515152,-9.09278996969697
Driouch,16.549463869463867,17.653846153846153,14.84673076923077,422.74409090909097,2.8071153846153827,67.23123543123543,501.82727272727277,0,187,non_documente,34.985093863636365,-3.472826954545454
El Hajeb,15.812634615384615,17.611730769230768,15.124166666666666,621.535923076923,2.487564102564102,58.25942307692308,951.7700000000001,1,18,indice_indirect,33.6638869,-5.4269362
El Jadida,18.40429487179487,18.61160256410256,18.044615384615383,336.1510576923077,0.5669871794871781,74.19911858974359,94.6125,0,0,non_documente,33.131781625,-8.3436881875
El Kelâa des Sraghna,18.726832898739676,20.20397435897436,12.718141025641026,386.4441981747067,7.485833333333334,51.71768796175576,691.6474576271187,1,218,non_documente,31.980947101694913,-7.334881898305085
Errachidia,19.902506009615387,22.77166666666667,15.327628205128208,109.89500000000001,7.44403846153846,30.364102564102566,1138.48125,2,27,indice_indirect,31.756618875,-4.25923265625
Es-Semara,21.41752136752137,23.21294871794872,20.03570512820513,52.67730769230769,3.17724358974359,45.91581196581196,299.8333333333333,2,0,non_documente,26.852133499999997,-11.440657833333333
Essaouira,18.269848783694936,18.933653846153845,16.71371794871795,285.41623274161736,2.219935897435896,61.24546351084813,422.92857142857144,0,722,confirme,31.37997657142857,-9.509090666666665
Fahs-Anjra,17.260641025641025,17.452115384615386,17.10705128205128,622.7653846153846,0.34506410256410547,75.17147435897436,140.1142857142857,0,8,non_documente,35.741447,-5.531275714285714
Figuig,18.722489316239315,20.07948717948718,17.489679487179487,132.46307692307693,2.5898076923076943,34.489636752136754,1108.1833333333334,2,0,non_documente,32.30314616666667,-1.9777988333333336
Fquih Ben Salah,19.595576923076923,20.33897435897436,17.689294871794875,397.52598662207356,2.649679487179487,49.8866220735786,547.0304347826087,0,781,non_documente,32.50175947826087,-6.694581304347826
Fès,18.201543803418804,19.31121794871795,16.237820512820512,553.1516666666668,3.073397435897437,58.89412393162393,577.6416666666667,0,51,confirme,34.03396541666667,-4.971317666666667
Guelmim,19.145810708898946,20.17955128205128,18.72801282051282,145.88466063348415,1.4515384615384583,55.781410256410254,436.4294117647059,0,15,non_documente,28.939833588235295,-10.095350235294116
Guercif,16.61514423076923,18.630576923076923,15.348589743589743,273.76884615384614,3.2819871794871798,50.161912393162396,893.1833333333334,1,63,non_documente,33.89014975,-3.2760968333333333
Guigou,12.131474358974359,12.839871794871796,11.599294871794871,511.39051282051287,1.2405769230769241,53.666666666666664,1771.8,1,0,non_documente,33.07274066666667,-4.973649
Ifrane,13.06641826923077,14.388910256410258,12.37525641025641,717.8834615384615,2.013653846153847,57.420112179487184,1421.4,1,3,non_documente,33.490701375,-5.17182425
Inezgane-Aït Melloul,20.182183257918552,21.02878205128205,19.00339743589744,268.95153846153846,2.02538461538461,58.66429110105581,218.12777777777777,0,12,non_documente,30.321236944444447,-9.419611333333332
Jerada,16.041150284900286,17.178974358974358,15.15724358974359,312.0676923076923,2.0217307692307678,53.21542022792023,990.9944444444445,1,0,non_documente,34.136558388888886,-2.1913030555555557
Khemisset,17.44232193732194,18.23102564102564,15.64423076923077,500.69794871794875,2.5867948717948686,64.36837606837607,470.67407407407404,0,15,confirme,33.72857848148148,-6.138607444444444
Khouribga,17.985337837837836,19.97121794871795,16.88705128205128,410.6693139293139,3.0841666666666683,56.86377338877339,670.7351351351351,0,2,non_documente,32.927266405405405,-6.853967297297297
Khénifra,14.281774977895667,17.523141025641028,8.896602564102565,611.8599204244032,8.626538461538463,52.89155614500442,1330.2620689655173,1,11,non_documente,32.81258686206897,-5.629422206896551
Kénitra,18.377871794871794,18.731410256410257,17.905384615384612,513.5407692307692,0.8260256410256446,73.12307692307692,83.79375,0,10,non_documente,34.280489375,-6.4572044375
Larache,18.019821047008545,18.583269230769236,16.637884615384614,757.5130448717949,1.9453846153846222,73.88154380341881,84.37083333333334,0,195,indice_indirect,35.09619775,-6.0102048749999994
Laâyoune,20.650865384615386,21.050641025641028,20.26903846153846,49.714615384615385,0.7816025641025668,57.458653846153844,87.53999999999999,0,0,non_documente,26.9518142,-13.116914
M'diq-Fnideq,17.716474358974356,17.726089743589743,17.711666666666666,597.5928205128205,0.01442307692307665,76.74123931623932,74.075,0,6,non_documente,35.83012375,-5.36360025
Marrakech,18.371755424063117,19.539615384615384,15.06147435897436,366.0035798816568,4.478141025641024,53.23128698224852,681.2230769230769,0,8,confirme,31.65903496153846,-7.910879115384616
Meknès,17.358310897435896,18.332179487179488,15.517307692307693,575.1511538461539,2.814871794871795,60.91230769230769,538.545,0,110,indice_indirect,33.8863024,-5.559566
Midelt,14.203454415954416,17.846282051282053,10.425320512820512,366.10217948717946,7.42096153846154,44.49330484330484,1690.0277777777778,1,2,non_documente,32.60154227777778,-4.702345222222222
Mohammedia,18.159496336996337,18.425192307692303,17.98173076923077,402.08901098901094,0.44346153846153413,74.13992673992674,130.8857142857143,0,0,non_documente,33.635765285714285,-7.348989857142857
Moulay Yacoub,18.919379217273953,19.573846153846155,17.524294871794872,563.7606882591093,2.049551282051283,60.28994601889339,350.5,0,323,indice_indirect,34.21787110526316,-5.207205947368421
Médiouna,18.30871794871795,18.30871794871795,18.30871794871795,360.99615384615385,0.0,73.25064102564103,30.5,0,0,non_documente,33.644338,-7.458642
Nador,18.131205128205128,18.46282051282051,17.94044871794872,335.99179487179487,0.5223717948717912,66.74252136752136,161.35000000000002,0,229,indice_indirect,35.09963222222222,-2.953555611111111
Nouaceur,18.14179980276134,18.4623717948718,17.912307692307692,363.7915976331361,0.5500641025641073,72.53027613412229,129.6,0,0,non_documente,33.40474114285714,-7.768628
Ouarzazate,17.57716276477146,23.73089743589744,10.4,169.95899665551838,13.33089743589744,32.85602006688963,1436.5260869565216,1,931,confirme,30.796022608695655,-6.906213217391304
Oued Ed-Dahab,24.547,27.067884615384617,23.196923076923078,42.03738461538462,3.8709615384615397,31.516410256410257,305.86,2,0,non_documente,23.2185442,-15.611058
Ouezzane,18.13512613730356,19.15147435897436,16.92397435897436,795.1698263027295,2.2275000000000027,68.29652605459057,229.5774193548387,0,736,indice_indirect,34.74358858064516,-5.580964322580646
Oujda-Angad,15.932602564102563,16.888461538461538,13.578205128205129,410.317923076923,3.310256410256409,61.65326923076923,769.6899999999999,0,0,non_documente,34.6629273,-1.9401392000000002
Rabat,18.32198717948718,18.32198717948718,18.32198717948718,450.5176923076923,0.0,74.71346153846153,113.9,0,0,non_documente,33.9866145,-6.840221
